System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
18:35:29:265523720,1700000|1900000|1200000|1800000,27.4298,10.6019,6.0354,45000,
18:35:29:599842797,1500000|1400000|1600000|2000000,27.3535,11.0340,5.4067,47000,
18:35:29:934394030,1900000|2100000|1700000|1900000,30.4806,13.8646,5.8242,47000,
18:35:30:268514181,1900000|1200000|1200000|1600000,30.5790,13.7859,6.1799,48000,
18:35:30:602726069,1600000|1600000|1800000|1900000,31.1548,14.0099,6.7835,47000,
18:35:30:937023179,1800000|1500000|1500000|1600000,30.5693,13.5127,6.4586,48000,
18:35:31:271140547,2000000|1900000|1800000|1600000,34.1877,17.2912,6.2352,48000,
18:35:31:605152624,1800000|1400000|1200000|1700000,33.3894,16.8094,5.9560,48000,
18:35:31:939313072,1200000|1400000|1300000|1700000,27.9120,11.5292,5.4789,47000,
18:35:32:273525645,1700000|2000000|1200000|1200000,29.2460,12.8168,5.4589,47000,
18:35:32:607764495,1200000|1700000|1200000|1800000,25.0110,8.7636,4.9951,48000,
18:35:32:942146891,1400000|1200000|1400000|1700000,25.5470,9.3967,5.1498,48000,
18:35:33:276370591,1400000|1900000|1600000|2000000,26.0471,9.7322,5.2328,48000,
18:35:33:610428634,1700000|1700000|1800000|1500000,25.5728,9.3829,5.1539,47000,
18:35:33:944571984,1400000|1600000|2000000|1200000,24.8657,8.6894,5.1663,47000,
18:35:34:278835121,1600000|1800000|1600000|1600000,24.9924,8.8108,5.2095,48000,
18:35:34:613093698,1200000|1700000|1300000|1200000,24.8672,8.6385,5.0750,47000,
18:35:34:947632234,1200000|1800000|1200000|1200000,24.4352,8.2152,4.9958,46000,
18:35:35:282116170,1800000|1200000|1200000|1600000,23.9104,7.7665,5.1439,46000,
18:35:35:616263229,2000000|1800000|1300000|1900000,25.4586,9.2017,5.1617,47000,
18:35:35:950256678,1500000|2100000|2100000|2000000,26.1790,9.8828,5.2799,48000,
18:35:36:284237918,1700000|1900000|2100000|1500000,24.3228,8.0794,5.1400,47000,
18:35:36:618438330,1900000|1700000|1400000|1300000,23.1993,7.0240,4.9596,47000,
18:35:36:952517140,1200000|2000000|1800000|1200000,24.2132,7.7201,5.2043,47000,
18:35:37:294308429,1900000|1800000|1900000|1500000,21.4918,5.7138,4.7899,48000,
18:35:37:628362273,1200000|2000000|1200000|1200000,20.8329,4.8008,4.8359,45000,
18:35:37:962894086,2100000|1200000|1900000|1200000,24.0886,7.8332,5.0735,47000,
18:35:38:296943945,2100000|1200000|1300000|1200000,24.2051,8.0355,5.0503,47000,
18:35:38:630944521,1400000|1700000|2200000|1900000,21.0851,5.1171,4.6586,47000,
18:35:38:965218334,1900000|1200000|1200000|1300000,22.5886,6.4704,5.1169,46000,
18:35:39:299351445,1700000|1400000|1200000|1200000,24.7072,8.5543,5.2289,47000,
18:35:39:633582766,2200000|1500000|1200000|1200000,21.6058,5.5791,4.6913,46000,
18:35:39:991769180,1800000|1700000|1200000|1200000,24.4901,8.3724,4.8170,46000,
18:35:40:325989407,1200000|1800000|1200000|1400000,26.4191,10.2253,5.1635,47000,
18:35:40:660422925,1400000|1800000|1200000|2000000,22.5535,6.4475,5.0233,48000,
18:35:40:994425877,1200000|2200000|1200000|1200000,20.2489,4.1941,4.6928,47000,
18:35:41:328729374,1200000|1200000|1200000|1600000,22.9960,6.8278,4.9857,46000,
18:35:41:663322045,1200000|1200000|1400000|1500000,24.3012,8.1380,5.1002,47000,
18:35:41:997835087,1200000|1700000|1300000|1600000,20.9201,4.8902,4.8085,46000,
18:35:42:332497510,1600000|1800000|1200000|1500000,21.3964,5.2109,5.0037,46000,
18:35:42:666969143,1200000|1200000|1200000|1200000,21.6229,5.6667,4.7420,46000,
18:35:43:  1564291,1200000|1400000|1900000|1900000,24.0472,7.8532,5.1490,46000,
18:35:43:335974022,1200000|2100000|1500000|1200000,19.5030,3.5160,4.6393,47000,
18:35:43:669942596,1200000|1500000|1500000|1500000,23.7404,7.5823,5.0605,47000,
18:35:44:  4471509,1200000|1400000|1700000|1400000,21.5311,5.5716,4.7149,47000,
18:35:44:339036709,1200000|1200000|1600000|1200000,24.2684,8.0406,5.1556,47000,
18:35:44:673692333,1600000|1300000|2200000|2000000,19.4775,3.5000,4.6535,47000,
18:35:45:  7799330,1200000|1200000|1200000|1200000,22.8286,6.6404,5.1397,46000,
18:35:45:342452147,1300000|1200000|1200000|1200000,21.1661,5.0903,4.8697,46000,
18:35:45:678260548,1200000|1500000|1300000|1500000,23.3782,7.2387,5.0205,46000,
18:35:46: 12811579,1700000|1800000|2200000|1900000,24.6936,8.5708,5.0196,49000,
18:35:46:346749409,1200000|1200000|1200000|1700000,20.9146,4.7463,4.9387,46000,
18:35:46:681334021,1300000|1400000|1700000|1300000,22.7046,6.5525,5.0287,47000,
18:35:47: 15603359,1200000|1200000|1200000|1200000,23.4668,7.3824,4.9452,46000,
18:35:47:350139772,2000000|2000000|1900000|1700000,20.0719,4.1274,4.6599,48000,
18:35:47:684168672,2200000|1200000|1200000|1200000,22.4237,6.1705,4.9685,47000,
18:35:48: 18127865,1200000|1900000|1900000|1200000,22.8040,6.8025,4.7512,46000,
18:35:48:352677002,1200000|1200000|1200000|1200000,21.6038,5.4296,5.0341,46000,
18:35:48:687285742,1200000|1200000|1600000|1600000,21.4003,5.4564,4.7312,47000,
18:35:49: 21909772,1700000|2100000|1700000|1500000,22.1602,5.9722,5.0233,48000,
18:35:49:356105559,1200000|1600000|1200000|1200000,19.7598,3.8187,4.6701,46000,
18:35:49:690674559,1200000|1800000|1500000|1500000,21.0838,5.0704,4.7332,47000,
18:35:50: 25256062,1200000|1700000|1800000|1200000,21.6496,5.4524,5.0311,47000,
18:35:50:359814929,1200000|1500000|1200000|1200000,21.0329,5.0932,4.7297,47000,
18:35:50:694492527,1200000|1200000|1200000|1200000,19.1308,3.1514,4.6530,46000,
18:35:51: 29136214,1200000|1300000|1200000|1200000,22.5252,6.3084,4.9750,45000,
18:35:51:363751412,1400000|1200000|1500000|1200000,20.5722,4.6293,4.7038,46000,
18:35:51:698197942,1500000|1600000|1700000|1500000,22.6903,6.4751,5.1400,47000,
18:35:52: 32374363,1200000|1200000|1200000|1200000,20.4754,4.5095,4.7436,47000,
18:35:52:366998147,1200000|1200000|1200000|1200000,21.3733,5.3431,4.8020,48000,
18:35:52:701568027,1700000|1200000|1200000|1700000,23.9173,7.6934,5.0907,46000,
18:35:53: 35718963,1200000|1200000|1200000|1200000,21.3155,5.3258,4.7206,46000,
18:35:53:370376526,1800000|1200000|1200000|1200000,23.2852,7.1215,5.1303,46000,
18:35:53:704502819,1200000|1400000|1200000|1700000,22.7301,6.6415,4.9499,47000,
18:35:54: 38703333,1200000|1200000|1200000|1200000,22.7495,6.6425,4.9082,46000,
18:35:54:373319392,1900000|1400000|1800000|1200000,22.7052,6.3484,5.1611,47000,
18:35:54:709359111,1200000|1200000|1200000|1200000,18.9259,3.0639,4.6928,46000,
18:35:55: 43913935,1400000|1700000|1700000|1400000,23.3255,7.0768,5.0786,47000,
18:35:55:378084557,1200000|2000000|1200000|1300000,20.0762,4.0876,4.7647,47000,
18:35:55:712346307,1200000|1200000|1300000|1300000,19.7814,3.8285,4.6815,47000,
18:35:56: 46980275,1200000|1900000|1900000|1200000,24.0373,7.8356,5.2068,47000,
18:35:56:381348390,1200000|1200000|1200000|1200000,19.3751,3.3590,4.6536,46000,
18:35:56:715897168,1200000|1900000|1700000|1400000,21.8393,5.7320,5.0738,47000,
18:35:57: 50012659,1200000|1200000|1200000|2200000,21.5153,5.5192,4.7511,46000,
18:35:57:384554856,1200000|1200000|1200000|1200000,18.6117,2.6472,4.6065,46000,
18:35:57:719114605,1200000|1500000|1200000|1200000,23.1437,6.9460,5.1209,46000,
18:35:58: 53722529,1200000|1200000|1200000|1200000,18.6740,2.7579,4.6046,46000,
18:35:58:388268162,2000000|1300000|1600000|2100000,23.2017,7.0199,5.0486,48000,
18:35:58:722424091,1200000|1200000|1200000|1200000,19.0599,3.1002,4.6616,46000,
18:35:59: 56996905,1200000|1200000|1200000|1200000,18.6356,2.6599,4.6334,46000,
18:35:59:391570949,1900000|1900000|1300000|1200000,24.1864,7.9969,5.1536,45000,
18:35:59:725689568,1200000|1200000|1200000|1200000,18.7888,2.8443,4.6420,46000,
18:36:00: 60205452,1600000|1600000|1300000|1500000,20.9093,4.9016,4.6879,47000,
18:36:00:394406760,1200000|1500000|1200000|1400000,21.6179,5.5258,5.0242,46000,
18:36:00:729073792,1200000|1200000|1200000|1200000,18.6865,2.7225,4.6328,47000,
18:36:01: 63619497,1700000|1800000|2200000|1500000,21.8785,5.9183,4.8194,48000,
18:36:01:397621583,1200000|2000000|1200000|1200000,21.0789,4.9498,4.9291,46000,
18:36:01:732230196,1200000|1200000|1200000|1200000,18.9367,2.9518,4.6646,47000,
18:36:02: 66805107,1200000|1200000|1200000|1700000,23.4662,7.2338,5.1298,46000,
18:36:02:401427268,1200000|1200000|1200000|1700000,18.5058,2.5969,4.6652,46000,
18:36:02:735979422,1300000|1200000|1700000|1200000,24.0691,7.8341,5.1010,47000,
18:36:03: 70549673,1400000|1800000|1200000|1200000,21.6970,5.4947,5.0630,47000,
18:36:03:404975842,1300000|1200000|1800000|1200000,22.5886,6.3572,5.0848,47000,
18:36:03:739430126,1200000|1200000|1500000|1200000,21.1318,4.9706,5.0250,47000,
18:36:04: 73891171,1700000|1200000|1900000|1600000,24.5715,8.3433,5.2498,47000,
18:36:04:408128928,1700000|1200000|1200000|1400000,24.0827,7.8545,5.0977,47000,
18:36:04:742366055,1200000|1400000|1800000|1400000,22.9369,6.7735,5.1273,47000,
