08:15:38.520190494,59989,49.50,1,0.00,
08:15:39. 24436127,59989,49.50,1,0.00,
08:15:39.518327029,59989,49.50,1,0.00,
08:15:40. 19332879,59990,50.00,1,0.00,
08:15:40.520025848,59990,50.00,1,0.00,
08:15:41. 19364754,59990,50.00,1,0.00,
08:15:41.516334355,59990,50.00,1,0.00,
08:15:42. 18053157,59990,50.00,1,0.00,
08:15:42.517657790,59990,50.00,1,0.00,
08:15:43. 24460264,59990,50.00,1,0.00,
08:15:43.520838513,59990,50.00,1,0.00,
08:15:44. 16251989,59990,50.00,1,0.00,
08:15:44.521330653,59990,50.00,1,0.00,
08:15:45. 15968102,59989,49.50,1,0.00,
08:15:45.521061591,59989,49.50,1,0.00,
08:15:46. 16141095,59989,49.50,1,0.00,
08:15:46.521396662,59989,49.50,1,0.00,
08:15:47. 16765032,59990,50.00,1,0.00,
08:15:47.522908466,59990,50.00,1,0.00,
08:15:48. 18147075,59990,50.00,1,0.00,
08:15:48.523827623,59990,50.00,1,0.00,
08:15:49. 18699062,59990,50.00,1,0.00,
08:15:49.515400180,59990,50.00,1,0.00,
08:15:50. 19906139,59990,50.00,1,0.00,
08:15:50.524722164,59990,50.00,1,0.00,
08:15:51. 19688762,59991,50.50,1,0.00,
08:15:51.515988575,59991,50.50,1,0.00,
08:15:52. 21290738,59992,51.00,1,0.00,
08:15:52.516587499,59992,51.00,1,0.00,
08:15:53. 23118279,59992,51.00,1,0.00,
08:15:53.517889686,59992,51.00,1,0.00,
08:15:54. 23406015,59993,51.50,1,0.00,
08:15:54.518499287,59993,51.50,1,0.00,
08:15:55. 16907193,59993,51.50,1,0.00,
08:15:55.522836521,59993,51.50,1,0.00,
08:15:56. 17936903,59993,51.50,1,0.00,
08:15:56.513811265,59994,52.00,1,0.00,
08:15:57. 18758423,59993,51.50,1,0.00,
08:15:57.515742604,59994,52.00,1,0.00,
08:15:58. 20947386,59994,52.00,1,0.00,
08:15:58.516052559,59993,51.50,1,0.00,
08:15:59. 23369642,59993,51.50,1,0.00,
08:15:59.518477343,59994,52.00,1,0.00,
08:16:00. 15115557,59994,52.00,1,0.00,
08:16:00.520531852,59994,52.00,1,0.00,
08:16:01. 16018898,59993,51.50,1,0.00,
08:16:01.523526205,59993,51.50,1,0.00,
08:16:02. 18641889,59992,51.00,1,0.00,
08:16:02.513672173,59993,51.50,1,0.00,
08:16:03. 19066061,59992,51.00,1,0.00,
08:16:03.515499593,59993,51.50,1,0.00,
08:16:04. 20939479,59993,51.50,1,0.00,
08:16:04.516270149,59993,51.50,1,0.00,
08:16:05. 21354750,59993,51.50,1,0.00,
08:16:05.516200727,59993,51.50,1,0.00,
08:16:06. 21179990,59992,51.00,1,0.00,
08:16:06.518482603,59992,51.00,1,0.00,
08:16:07. 23741827,59991,50.50,1,0.00,
08:16:07.520351202,59991,50.50,1,0.00,
08:16:08. 16051858,59991,50.50,1,0.00,
08:16:08.521432303,59992,51.00,1,0.00,
08:16:09. 16857980,59991,50.50,1,0.00,
08:16:09.512484698,59991,50.50,1,0.00,
08:16:10. 17758526,59991,50.50,1,0.00,
08:16:10.515163300,59991,50.50,1,0.00,
08:16:11. 11853849,59991,50.50,1,0.00,
08:16:11.516983155,59991,50.50,1,0.00,
08:16:12. 12283698,59991,50.50,1,0.00,
08:16:12.520939319,59992,51.00,1,0.00,
08:16:13. 17012691,59993,51.50,1,0.00,
08:16:13.513701434,59993,51.50,1,0.00,
08:16:14. 20013175,59993,51.50,1,0.00,
08:16:14.515746236,59993,51.50,1,0.00,
08:16:15. 20552639,59993,51.50,1,0.00,
08:16:15.516138418,59993,51.50,1,0.00,
08:16:16. 21400150,59993,51.50,1,0.00,
08:16:16.517780175,59993,51.50,1,0.00,
08:16:17. 13572605,59994,52.00,1,0.00,
08:16:17.509213399,59994,52.00,1,0.00,
08:16:18. 15903767,59994,52.00,1,0.00,
08:16:18.511854243,59994,52.00,1,0.00,
08:16:19. 17171801,59994,52.00,1,0.00,
08:16:19.514805040,59993,51.50,1,0.00,
08:16:20. 10256911,59993,51.50,1,0.00,
08:16:20.515490794,59994,52.00,1,0.00,
08:16:21. 10308708,59995,52.50,1,0.00,
08:16:21.507202972,59995,52.50,1,0.00,
08:16:22. 12361999,59995,52.50,1,0.00,
08:16:22.507369471,59995,52.50,1,0.00,
08:16:23. 12872744,59994,52.00,1,0.00,
08:16:23.507703212,59994,52.00,1,0.00,
08:16:24. 12810090,59995,52.50,1,0.00,
08:16:24.509898661,59996,53.00,1,0.00,
08:16:25. 13961172,59997,53.50,1,0.00,
08:16:25.509241309,59999,54.50,1,0.00,
08:16:26.  5910006,59999,54.50,1,0.00,
08:16:26.511745627,59999,54.50,1,0.00,
08:16:27.  7919243,59999,54.50,1,0.00,
08:16:27.510822678,60000,55.00,1,0.00,
08:16:28.  8990048,60000,55.00,1,0.00,
08:16:28.504840381,60001,55.50,1,0.00,
08:16:29. 10745971,60001,55.50,1,0.00,
08:16:29.508756846,60002,56.00,1,0.00,
08:16:30.  4465382,60003,56.50,1,0.00,
08:16:30.509575402,60003,56.50,1,0.00,
08:16:31.  6375713,60003,56.50,1,0.00,
08:16:31.506892710,60003,56.50,1,0.00,
08:16:32.  3934560,60003,56.50,1,0.00,
08:16:32.509644525,60004,57.00,1,0.00,
08:16:33.  8793982,60004,57.00,1,0.00,
08:16:33.504688962,60005,57.50,1,0.00,
08:16:34. 11107181,60005,57.50,1,0.00,
08:16:34.506969689,60005,57.50,1,0.00,
08:16:35. 12319418,60005,57.50,1,0.00,
08:16:35.508656774,60005,57.50,1,0.00,
08:16:36. 12632644,60005,57.50,1,0.00,
08:16:36.510291134,60006,58.00,1,0.00,
08:16:37.  8880733,60007,58.50,1,0.00,
08:16:37.504260808,60008,59.00,1,0.00,
08:16:38.  9879189,60008,59.00,1,0.00,
08:16:38.507319723,60007,58.50,1,0.00,
08:16:39.  2609755,60006,58.00,1,0.00,
08:16:39.508038260,60006,58.00,1,0.00,
