46187.668495979,60001,17.98,1
46188.163026139,60002,18.47,1
46188.66735032,60002,18.47,1
46189.161534236,60002,18.47,1
46189.665387762,60002,18.47,1
46190.169825041,60002,18.47,1
46190.664495785,60002,18.47,1
46191.16890953,60002,18.47,1
46191.663255377,60002,18.47,1
46192.167513888,60003,18.95,1
46192.661855549,60004,19.43,1
46193.16689003,60004,19.43,1
46193.661199678,60005,19.92,1
46194.165558978,60005,19.92,1
46194.670017857,60005,19.92,1
46195.164266458,60005,19.92,1
46195.65866651,60005,19.92,1
46196.162429182,60005,19.92,1
46196.66684002,60006,20.40,1
46197.160976189,60007,20.88,1
46197.66532318,60007,20.88,1
46198.159741418,60007,20.88,1
46198.664155227,60007,20.88,1
46199.1685633,60006,20.40,1
46199.663079908,60005,19.92,1
46200.167759823,60004,19.43,1
46200.66239723,60005,19.92,1
46201.16677303,60006,20.40,1
46201.661264163,60006,20.40,1
46202.165822183,60006,20.40,1
46202.660403298,60005,19.92,1
46203.164572526,60005,19.92,1
46203.661052885,60004,19.43,1
46204.165652841,60004,19.43,1
46204.660021667,60003,18.95,1
46205.164371232,60002,18.47,1
46205.65872048,60003,18.95,1
46206.162884729,60002,18.47,1
46206.667187022,60002,18.47,1
46207.161438079,60003,18.95,1
46207.665638739,60002,18.47,1
46208.15995621,60003,18.95,1
46208.664469709,60004,19.43,1
46209.168682928,60004,19.43,1
46209.663348697,60004,19.43,1
46210.167845748,60004,19.43,1
46210.66386016,60004,19.43,1
46211.168147465,60004,19.43,1
46211.662464592,60004,19.43,1
46212.16684646,60005,19.92,1
46212.660938587,60005,19.92,1
46213.165092902,60006,20.40,1
46213.659269565,60006,20.40,1
46214.163676516,60007,20.88,1
46214.668022563,60008,21.37,1
46215.162103226,60008,21.37,1
46215.666229815,60009,21.85,1
46216.160467458,60009,21.85,1
46216.664819733,60010,22.33,1
46217.159205762,60011,22.82,1
46217.663473472,60011,22.82,1
46218.16774197,60012,23.30,1
46218.661833178,60012,23.30,1
46219.166200864,60012,23.30,1
46219.660335904,60012,23.30,1
46220.164551584,60011,22.82,1
46220.658787857,60011,22.82,1
46221.163198396,60010,22.33,1
46221.667515257,60010,22.33,1
46222.161899002,60010,22.33,1
46222.666274323,60009,21.85,1
46223.160649409,60010,22.33,1
46223.664986016,60009,21.85,1
46224.15916342,60009,21.85,1
46224.663222345,60008,21.37,1
46225.167503494,60008,21.37,1
46225.665590059,60008,21.37,1
46226.159963885,60008,21.37,1
46226.664289833,60009,21.85,1
46227.158660799,60009,21.85,1
46227.662913143,60009,21.85,1
46228.157059345,60009,21.85,1
46228.661427436,60008,21.37,1
46229.165715279,60008,21.37,1
46229.659929077,60008,21.37,1
46230.166131623,60007,20.88,1
46230.660329216,60007,20.88,1
46231.164594797,60006,20.40,1
46231.658680272,60006,20.40,1
46232.163035119,60006,20.40,1
46232.657137284,60006,20.40,1
46233.161540674,60007,20.88,1
46233.665649346,60007,20.88,1
46234.159931618,60007,20.88,1
