1445299417.102,1445299417.202,231.178,52.869,68.575,35.729,36.007,37.059
1445299417.202,1445299417.302,222.127,52.383,60.435,35.623,35.548,36.944
1445299417.302,1445299417.402,187.727,52.358,26.443,35.646,36.183,36.101
1445299417.402,1445299417.502,209.778,52.385,48.314,35.637,35.914,36.526
1445299417.502,1445299417.602,202.190,52.339,41.502,35.588,35.704,36.055
1445299417.602,1445299417.702,203.372,52.363,41.740,36.105,35.779,36.315
1445299417.702,1445299417.802,205.254,52.530,42.586,36.982,35.745,36.355
1445299417.802,1445299417.902,203.730,52.627,42.476,35.706,35.923,36.032
1445299417.902,1445299418.002,204.483,52.575,43.103,35.688,35.731,36.270
1445299418.002,1445299418.102,206.556,52.561,44.760,36.011,35.703,36.296
1445299418.102,1445299418.202,205.376,52.512,43.980,35.671,36.046,36.094
1445299418.202,1445299418.302,208.872,52.349,47.529,35.767,35.921,36.211
1445299418.302,1445299418.402,230.945,52.795,69.640,35.631,35.834,36.122
1445299418.402,1445299418.502,230.890,52.370,68.679,35.727,36.048,36.746
1445299418.502,1445299418.602,229.401,52.438,68.224,35.423,35.753,36.648
1445299418.602,1445299418.702,228.770,52.402,67.758,36.106,35.725,35.944
1445299418.702,1445299418.802,229.060,52.491,67.538,35.498,35.993,36.348
1445299418.802,1445299418.902,229.551,52.231,68.058,35.758,36.341,36.071
1445299418.902,1445299419.002,228.743,52.516,67.641,35.701,35.755,36.234
1445299419.002,1445299419.102,229.343,52.458,68.005,35.647,35.703,36.242
1445299419.102,1445299419.202,229.419,52.736,67.565,36.041,35.939,36.158
1445299419.202,1445299419.302,229.308,52.426,67.793,35.947,35.779,36.319
1445299419.302,1445299419.402,229.354,52.363,67.578,35.712,36.159,36.333
1445299419.402,1445299419.502,229.224,52.313,68.190,35.629,35.755,36.228
1445299419.502,1445299419.602,229.664,52.445,68.210,35.713,36.003,36.268
1445299419.602,1445299419.702,229.600,52.391,67.753,36.004,35.795,36.490
1445299419.702,1445299419.802,229.460,52.347,67.907,35.850,35.726,36.429
1445299419.802,1445299419.902,229.723,52.577,68.297,35.738,35.879,36.059
1445299419.902,1445299420.002,230.172,52.679,68.325,35.650,35.927,36.344
1445299420.002,1445299420.102,229.662,52.628,68.344,35.679,35.779,36.228
1445299420.102,1445299420.202,229.799,52.596,68.196,35.741,35.923,36.197
1445299420.202,1445299420.302,229.542,52.543,67.798,35.912,35.734,36.280
1445299420.302,1445299420.402,229.288,52.383,67.928,35.824,35.830,36.128
1445299420.402,1445299420.502,229.204,52.366,67.867,35.585,35.983,36.313
1445299420.502,1445299420.602,230.712,52.512,68.944,35.699,36.113,36.574
1445299420.602,1445299420.702,228.907,52.432,67.276,36.097,35.711,36.296
1445299420.702,1445299420.802,227.517,52.288,66.295,35.689,35.769,36.373
1445299420.802,1445299420.902,227.803,52.372,66.463,35.635,35.866,36.256
1445299420.902,1445299421.002,228.004,52.493,66.412,35.808,35.871,36.209
1445299421.002,1445299421.102,225.225,52.635,64.184,35.482,35.700,36.159
1445299421.102,1445299421.202,226.683,52.382,65.425,35.781,35.904,36.064
1445299421.202,1445299421.302,224.385,52.665,63.006,35.612,35.703,36.244
1445299421.302,1445299421.402,222.541,52.783,61.102,35.630,35.760,36.134
1445299421.402,1445299421.502,222.720,52.304,61.311,35.970,35.773,36.250
1445299421.502,1445299421.602,217.201,52.418,55.529,35.863,35.911,36.339
1445299421.602,1445299421.702,213.725,52.254,52.735,35.775,35.899,36.083
