System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
18:29:37:515680017,1200000|1200000|1200000|1200000,8.5463,0.4738,1.5591,46000,
18:29:37:667249102,1200000|1200000|1200000|1200000,7.8611,0.4793,1.3935,46000,
18:29:37:818770230,1200000|1200000|1200000|1200000,8.4712,0.5302,1.3776,46000,
18:29:37:970238458,1200000|1200000|1200000|1200000,9.9536,0.5347,1.4253,45000,
18:29:38:121710812,1200000|1200000|1200000|1200000,9.7481,0.5334,1.4377,46000,
18:29:38:273185473,1200000|1200000|1200000|1200000,7.6174,0.4058,1.3092,46000,
18:29:38:424675625,1200000|1200000|1200000|1200000,7.3527,0.3556,1.3667,45000,
18:29:38:576148485,1200000|1200000|1200000|1200000,7.8035,0.3950,1.3335,45000,
18:29:38:727663868,1200000|1200000|1200000|1200000,8.9496,0.4607,1.4088,46000,
18:29:38:879233768,1200000|1200000|1200000|1200000,7.9684,0.4132,1.3123,45000,
18:29:39: 30785255,1200000|1200000|1200000|1200000,7.4959,0.4072,1.2520,45000,
18:29:39:182263506,1200000|1200000|1200000|1200000,8.4823,0.4152,1.3489,46000,
18:29:39:333738183,1200000|1200000|1200000|1200000,6.6571,0.3965,1.3859,46000,
18:29:39:485205620,1200000|1200000|1200000|1200000,8.3822,0.4176,1.3777,46000,
18:29:39:636674269,1200000|1200000|1200000|1200000,7.2178,0.3477,1.3415,46000,
18:29:39:788148267,1200000|1200000|1200000|1200000,8.5897,0.4709,1.4052,46000,
18:29:39:939664556,1200000|1200000|1200000|1200000,7.2365,0.3437,1.3544,45000,
18:29:40: 91190334,1200000|1200000|1200000|1200000,7.4514,0.4133,1.3362,46000,
18:29:40:242728338,1200000|1200000|1200000|1200000,7.5074,0.3474,1.3273,46000,
18:29:40:394223133,1200000|1200000|1200000|1200000,7.7816,0.4443,1.3419,45000,
18:29:40:545709623,1200000|1200000|1200000|1200000,7.8244,0.3633,1.3547,45000,
18:29:40:697191864,1200000|1200000|1200000|1200000,8.0397,0.4617,1.4052,46000,
18:29:40:848674138,1200000|1200000|1200000|1200000,7.1267,0.3404,1.3172,45000,
18:29:41:   157392,1200000|1200000|1200000|1200000,8.4941,0.4272,1.3206,45000,
18:29:41:151659299,1200000|1200000|1200000|1200000,7.1419,0.3255,1.4328,45000,
18:29:41:303198446,1200000|1200000|1200000|1200000,7.8444,0.4386,1.4322,44000,
18:29:41:454734063,1200000|1200000|1200000|1200000,7.1407,0.3037,1.3122,46000,
18:29:41:606216061,1200000|1200000|1200000|1200000,7.4007,0.3758,1.3382,45000,
18:29:41:757708313,1200000|1200000|1200000|1200000,8.1424,0.3986,1.3731,45000,
18:29:41:909209074,1200000|1200000|1200000|1200000,8.0623,0.4090,1.3684,46000,
18:29:42: 60691072,1200000|1200000|1200000|1200000,7.4524,0.3316,1.3555,45000,
18:29:42:212171307,1200000|1200000|1200000|1200000,6.4137,0.3125,1.2901,45000,
18:29:42:363691581,1200000|1200000|1200000|1200000,7.6644,0.3781,1.3079,45000,
18:29:42:515239903,2000000|1200000|1200000|1200000,8.2969,0.4269,1.4366,46000,
18:29:42:666180421,1200000|1200000|1200000|1200000,8.4087,0.4783,1.3889,46000,
18:29:42:817649225,1200000|1200000|1200000|1200000,8.1677,0.4630,1.3956,46000,
18:29:42:969128234,1200000|1200000|1200000|1200000,7.7091,0.3898,1.3484,46000,
18:29:43:120621728,1200000|1200000|1200000|1200000,6.6449,0.2805,1.3211,46000,
18:29:43:272102136,1200000|1200000|1200000|1200000,7.7611,0.4242,1.3324,46000,
18:29:43:423615635,1200000|1200000|1200000|1200000,7.5042,0.3559,1.3605,46000,
18:29:43:575160067,1200000|1200000|1800000|1200000,11.2923,1.6648,2.0770,46000,
18:29:43:726749795,1200000|1200000|1200000|1200000,9.8135,1.0396,1.8380,46000,
18:29:43:878237444,1200000|1200000|1200000|1200000,8.4162,0.6645,1.5688,46000,
18:29:44: 29726438,1200000|1200000|1200000|1200000,8.6102,0.7775,1.6254,45000,
18:29:44:181209983,1200000|1200000|1200000|1200000,9.4657,0.7703,1.6657,46000,
18:29:44:332678485,1200000|1200000|1200000|1200000,8.2817,0.6456,1.5512,46000,
18:29:44:484149684,1200000|1200000|1200000|1200000,9.1837,0.9243,1.8328,47000,
18:29:44:635684024,1200000|1200000|1200000|1200000,8.0798,0.6294,1.5521,46000,
18:29:44:787226978,1200000|1200000|1200000|1200000,10.2036,0.9628,1.7379,46000,
