System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
20:12:57:648627260,2000000|1900000|1800000|2200000,28.8095,12.0875,6.1403,49000,
20:12:58:149546744,1200000|2200000|1300000|1200000,25.7033,9.3888,5.1978,48000,
20:12:58:650434634,1800000|1900000|1700000|1800000,29.4221,13.1203,5.2996,49000,
20:12:59:151604531,2100000|2100000|2200000|1900000,31.5070,14.8480,6.0967,48000,
20:12:59:652569752,1600000|1900000|1800000|1800000,32.3055,15.2073,6.5780,48000,
20:13:00:153610636,2200000|2100000|2100000|2100000,30.8294,13.9922,6.2350,49000,
20:13:00:654517448,2100000|2200000|2100000|2100000,34.1275,17.3507,6.1895,49000,
20:13:01:155423018,2100000|2100000|2200000|2200000,34.5810,17.8887,5.9642,49000,
20:13:01:659721154,1600000|1700000|1500000|2000000,31.9674,15.4881,5.7162,48000,
20:13:02:160819331,2100000|1800000|2100000|1700000,32.1700,15.5943,5.8316,49000,
20:13:02:661991837,1300000|2000000|1400000|2100000,31.4609,14.8797,5.7882,49000,
20:13:03:163014443,1500000|1800000|2100000|2100000,30.7637,14.1445,5.9345,48000,
20:13:03:664034094,1500000|1600000|1200000|1500000,28.4953,12.1192,5.7130,48000,
20:13:04:165233886,2100000|1800000|2100000|2000000,30.7195,14.1192,5.6321,49000,
20:13:04:666166154,2100000|2100000|1700000|2000000,27.6877,11.3279,5.3906,49000,
20:13:05:167388552,1200000|1200000|1200000|1900000,30.3996,13.9374,5.7169,48000,
20:13:05:669381587,1200000|1900000|1200000|1200000,28.6719,12.5248,5.2865,48000,
20:13:06:170918967,2100000|1700000|1900000|2100000,25.4778,9.2741,5.1917,50000,
20:13:06:671921443,1900000|1900000|1200000|1600000,22.6283,6.4490,5.0538,49000,
20:13:07:172939405,1900000|1800000|1600000|1700000,29.0901,12.6782,5.4936,48000,
20:13:07:673997812,2000000|1400000|1500000|1900000,26.3357,10.1292,5.1912,49000,
20:13:08:174926379,1200000|1200000|1200000|1400000,24.5535,8.2523,5.3105,47000,
20:13:08:676497939,2000000|2100000|2000000|2100000,29.4332,12.9233,5.6325,50000,
20:13:09:177411859,1800000|2200000|2200000|1500000,30.7059,14.1764,5.6946,50000,
20:13:09:678327807,1600000|1600000|1900000|1900000,33.5521,16.9040,5.8628,48000,
20:13:10:179569029,2000000|1800000|2000000|2100000,30.2718,13.7040,5.8331,50000,
20:13:10:680687874,1600000|1800000|1800000|2000000,31.1039,14.5309,5.8972,50000,
20:13:11:181681192,2000000|1900000|2200000|2100000,30.3100,13.7538,5.8733,50000,
20:13:11:682677696,1800000|1800000|1500000|1900000,32.8248,16.1934,6.0476,49000,
20:13:12:183680761,2100000|1300000|1800000|1500000,30.4095,13.9310,5.8513,49000,
20:13:12:684754929,1600000|1600000|1200000|1300000,29.6479,13.0254,5.9127,49000,
20:13:13:185921575,1600000|1500000|1600000|2000000,29.3738,12.8281,5.9176,49000,
20:13:13:688793170,1200000|1700000|1800000|1500000,30.2976,13.7126,5.6909,49000,
20:13:14:192750651,1500000|1400000|1300000|1500000,28.5218,12.2115,5.5305,48000,
20:13:14:693998708,1400000|1200000|1200000|1400000,26.8570,10.5047,5.4336,47000,
20:13:15:195325294,1600000|1900000|2200000|2000000,26.6677,10.3135,5.5047,50000,
20:13:15:696297886,2200000|1200000|1600000|1800000,27.9265,11.5552,5.4432,47000,
20:13:16:197209403,2000000|1900000|2000000|1500000,29.4067,13.0535,5.4252,49000,
20:13:16:698190081,2000000|2000000|2200000|1700000,28.7097,12.4032,5.5385,50000,
20:13:17:199066904,1900000|1400000|1700000|1600000,30.5506,14.2674,6.0202,49000,
20:13:17:700140829,1600000|1300000|1600000|1200000,27.2768,10.9916,5.2880,48000,
20:13:18:201294338,1600000|1700000|1600000|1900000,32.1587,15.7051,6.0594,49000,
20:13:18:702840785,1900000|1700000|1200000|1700000,29.9015,13.5182,5.9997,48000,
20:13:19:203854012,1900000|1500000|1900000|2200000,31.5920,15.1709,5.9584,50000,
20:13:19:704920200,1200000|1200000|1600000|1200000,29.1148,12.8097,5.6887,49000,
20:13:20:206120578,1700000|1200000|1300000|1600000,31.8618,15.4549,5.8279,49000,
20:13:20:707238249,1500000|1800000|2000000|1400000,28.3290,12.0465,5.6355,48000,
20:13:21:208516972,1800000|1200000|1700000|1500000,29.9885,13.7287,5.5953,48000,
20:13:21:709787345,1500000|1700000|1900000|1900000,29.6553,13.3332,5.6468,49000,
20:13:22:210793506,1200000|1200000|1400000|1800000,28.2759,11.9988,5.6400,48000,
20:13:22:712428691,1900000|1700000|1700000|1700000,28.6477,12.2707,5.8419,49000,
20:13:23:213469397,1600000|1300000|1500000|1400000,29.6089,13.2384,5.9173,48000,
20:13:23:714608394,1700000|1400000|1700000|1500000,27.1666,10.9456,5.4464,48000,
20:13:24:216165773,1800000|1200000|1200000|1200000,31.0713,14.6493,5.8769,47000,
20:13:24:717300597,1900000|1800000|1900000|1600000,30.0941,13.8535,5.8999,50000,
20:13:25:218302783,1600000|1500000|1400000|1600000,30.0930,13.6453,5.8534,49000,
20:13:25:719420269,1800000|1200000|1300000|1300000,29.7524,13.5112,5.5210,49000,
20:13:26:220505854,1200000|1800000|1600000|1600000,30.4544,13.9711,6.1322,49000,
20:13:26:721614765,1500000|1500000|1900000|1800000,30.1171,13.7851,5.9114,50000,
20:13:27:224029479,1600000|1800000|1500000|2100000,31.3841,15.0696,5.9443,51000,
20:13:27:724946243,1500000|1600000|1600000|1800000,28.3996,12.1574,5.4726,49000,
20:13:28:226099021,1900000|1700000|1400000|1500000,30.7727,14.5113,5.7572,50000,
20:13:28:727331764,1700000|1500000|1700000|1500000,30.1920,13.8430,5.6718,50000,
20:13:29:228473817,2100000|2100000|1900000|2000000,28.6348,12.5140,5.4634,50000,
