System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:58:27:548537001,2000000|1900000|2100000|1700000,36.6433,19.6590,6.7290,52000,
11:58:28: 50226009,1800000|2000000|2100000|2100000,36.6551,19.6333,6.8676,51000,
11:58:28:552089628,2100000|1800000|1800000|1600000,36.0905,19.0983,6.8339,51000,
11:58:29: 56158990,1800000|2100000|1800000|2000000,36.0304,18.9782,6.8044,51000,
11:58:29:559741721,2100000|1900000|1900000|2100000,36.5657,19.5751,6.7728,52000,
11:58:30: 61167082,2100000|2200000|2100000|2200000,36.5702,19.5815,6.8127,51000,
11:58:30:564962859,2200000|1500000|1800000|1700000,36.6650,19.5325,6.9300,52000,
11:58:31: 66332816,2000000|1900000|2200000|2200000,36.9538,19.9612,6.7432,52000,
11:58:31:568113417,2000000|2000000|2000000|2100000,36.4577,19.6244,6.2549,52000,
11:58:32: 72047226,2100000|2200000|2200000|2200000,36.8457,19.9169,6.4313,52000,
11:58:32:577823504,2200000|2100000|2100000|2100000,36.9091,20.0302,6.5530,52000,
11:58:33: 79495269,2100000|2200000|1900000|2200000,37.3571,20.3788,6.4449,52000,
11:58:33:581217663,2200000|2200000|2200000|2100000,37.4626,20.6676,6.1313,52000,
11:58:34: 82812878,2000000|2200000|2100000|2100000,37.4675,20.5984,6.1230,52000,
11:58:34:585772227,2200000|2100000|2200000|2200000,37.7015,20.8643,6.1100,53000,
11:58:35: 87619307,1900000|2200000|2100000|2200000,37.1131,20.3957,6.0360,52000,
11:58:35:589774681,2200000|2200000|2200000|2100000,37.3111,20.4504,6.1319,53000,
11:58:36: 91620892,1900000|1600000|2200000|2000000,36.7770,19.9180,6.1594,53000,
11:58:36:595864847,2000000|1700000|2200000|1700000,36.7699,19.9785,6.2429,53000,
11:58:37: 97951422,2200000|2100000|1800000|2100000,37.1746,20.2026,6.6092,53000,
11:58:37:599267120,2200000|1700000|2100000|1200000,37.1615,20.2802,6.4045,53000,
11:58:38:103658360,1700000|2200000|1700000|1900000,36.7492,19.9580,6.1680,53000,
11:58:38:605239896,2200000|2200000|1900000|2100000,37.6044,20.7194,6.0709,54000,
11:58:39:107353982,2200000|2200000|2000000|1900000,36.6350,19.9146,6.0008,53000,
11:58:39:609178851,2200000|2200000|2200000|2200000,37.1773,20.3186,6.0748,54000,
