,,0,Processor Power_0 (Watt)IA Power_0 (Watt),0,0,
,,45183.15812438,8.4781,1.4794,51,
,,45183.309660715,7.8721,1.4157,51,
,,45183.461132447,7.1526,1.3388,51,
,,45183.612605297,5.9555,1.308,51,
,,45183.764077944,7.8540,1.3512,51,
,,45183.915601337,6.0180,1.2951,51,
,,45184.067138093,6.9117,1.3255,51,
,,45184.218678056,7.8693,1.3904,51,
,,45184.370161695,5.9727,1.2961,51,
,,45184.521640329,6.5532,1.2834,51,
,,45184.6731237,7.8117,1.3385,50,
,,45184.824604075,7.1074,1.3293,50,
,,45184.976095137,7.4286,1.2909,50,
,,45185.127599701,7.0712,1.3444,51,
,,45185.279131944,7.7929,1.3676,51,
,,45185.430667773,6.3562,1.2878,51,
,,45185.58215679,6.6281,1.2543,51,
,,45185.733635922,7.3697,1.3139,51,
,,45185.885123861,6.2455,1.2988,51,
,,45186.036597415,7.5582,1.3744,52,
,,45186.188061306,7.9027,1.4265,51,
,,45186.339551097,6.5818,1.2788,52,
,,45186.491035188,6.7560,1.3188,51,
,,45186.642506395,6.4831,1.2935,51,
,,45186.793974141,7.7022,1.3025,52,
,,45186.945445127,7.0019,1.3004,50,
,,45187.096919011,7.7593,1.3602,51,
,,45187.248357096,7.5006,1.3649,52,
,,45187.399847621,6.6496,1.3078,51,
,,45187.551304238,6.5192,1.2785,51,
,,45187.702789772,7.8695,1.3204,51,
,,45187.854249634,7.7718,1.3581,51,
,,45188.005719341,6.5016,1.337,51,
,,45188.157180941,7.6139,1.3712,51,
,,45188.308611729,7.8075,1.3893,51,
,,45188.460084699,6.0998,1.3376,51,
,,45188.611574281,8.3330,1.2958,52,
,,45188.763062284,7.6809,1.3448,51,
,,45188.914496873,6.8693,1.3524,51,
,,45189.066002288,7.2708,1.3087,52,
,,45189.21751243,8.5172,1.4534,52,
,,45189.369011911,8.4930,1.3493,51,
,,45189.520484817,7.8538,1.3443,51,
,,45189.671956072,8.6767,1.3711,51,
,,45189.823459875,8.5184,1.8245,51,
,,45189.974967508,7.2515,1.3315,51,
,,45190.12643686,6.9294,1.3005,50,
,,45190.277909435,7.8113,1.3482,50,
,,45190.429343151,15.4777,2.4478,53,
,,45190.580152627,37.5747,4.6281,53,
,,45190.730973104,37.4750,4.6419,54,
,,45190.881795201,37.4894,4.6713,54,
,,45191.032575963,37.7591,4.6403,54,
,,45191.183364815,37.4909,4.6672,55,
,,45191.334150605,37.7545,4.6409,55,
,,45191.484934059,37.5003,4.6081,54,
,,45191.635717662,37.5204,4.6698,54,
,,45191.78650756,37.7576,4.6067,55,
,,45191.937282506,37.5237,4.6063,55,
,,45192.088060886,37.7962,4.6371,55,
,,45192.238855425,37.5227,4.5777,54,
,,45192.389641295,37.5401,4.67,55,
,,45192.540421933,37.7909,4.6396,55,
,,45192.691213699,37.5511,4.6657,56,
,,45192.841997311,37.5623,4.637,55,
,,45192.992780185,37.8047,4.6376,55,
,,45193.143556062,37.5457,4.6379,55,
,,45193.294347323,37.7819,4.6378,54,
,,45193.445151836,37.5798,4.6378,55,
,,45193.595952819,37.6763,4.6713,54,
,,45193.74676621,37.9161,4.5799,55,
,,45193.897564771,37.6872,4.6416,56,
,,45194.04834988,37.9481,4.6428,56,
,,45194.199145588,37.6755,4.6713,55,
,,45194.34994279,37.9438,4.6105,55,
,,45194.500737546,37.6768,4.6416,56,
,,45194.651524413,37.6920,4.6722,56,
,,45194.802320954,37.9354,4.6412,56,
,,45194.953112914,37.6909,4.6433,55,
,,45195.103902171,37.7038,4.6408,55,
,,45195.254709153,37.9354,4.6386,56,
,,45195.405507365,37.7271,4.6718,57,
,,45195.556300437,37.9833,4.6411,56,
,,45195.707106364,37.7310,4.6709,57,
,,45195.85790489,37.9937,4.6422,56,
,,45196.008692005,37.7426,4.6412,56,
,,45196.159488117,37.7228,4.6426,55,
,,45196.310284997,37.9609,4.6103,55,
,,45196.46109382,39.5441,6.0852,56,
,,45196.612019044,41.4946,7.4921,56,
,,45196.76293304,41.2147,7.548,55,
,,45196.913821345,41.4693,7.5042,56,
,,45197.064693182,41.2018,7.5027,56,
,,45197.215598235,41.5115,7.4742,56,
,,45197.366507838,41.2559,7.5657,56,
,,45197.517400514,41.5211,7.4835,56,
,,45197.668301129,41.2609,7.4462,56,
,,45197.81920151,41.5218,7.4484,56,
,,45197.970169793,41.2126,7.4267,56,
,,45198.121035407,41.5139,7.5022,56,
,,45198.271936897,41.1845,7.4899,56,
,,45198.422885179,41.4249,7.5213,56,
,,45198.573798741,41.2753,7.5072,56,
,,45198.724683786,41.4543,7.464,56,
,,45198.875569528,41.2656,7.4725,55,
,,45199.026471013,41.5449,7.4393,56,
