System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
12:33:03:158124380,1200000|1200000|1200000|1200000,8.4781,0.4791,1.4794,51000,
12:33:03:309660715,1200000|1200000|1200000|1200000,7.8721,0.4774,1.4157,51000,
12:33:03:461132447,1200000|1200000|1200000|1200000,7.1526,0.3559,1.3388,51000,
12:33:03:612605297,1200000|1200000|1200000|1200000,5.9555,0.2900,1.3080,51000,
12:33:03:764077944,1200000|1200000|1200000|1200000,7.8540,0.3932,1.3512,51000,
12:33:03:915601337,1200000|1200000|1200000|1200000,6.0180,0.2865,1.2951,51000,
12:33:04: 67138093,1200000|1200000|1200000|1200000,6.9117,0.3493,1.3255,51000,
12:33:04:218678056,1200000|1200000|1200000|1200000,7.8693,0.4381,1.3904,51000,
12:33:04:370161695,1200000|1200000|1200000|1200000,5.9727,0.2927,1.2961,51000,
12:33:04:521640329,1200000|1200000|1200000|1200000,6.5532,0.3222,1.2834,51000,
12:33:04:673123700,1200000|1200000|1200000|1200000,7.8117,0.3828,1.3385,50000,
12:33:04:824604075,1200000|1200000|1200000|1200000,7.1074,0.3351,1.3293,50000,
12:33:04:976095137,1200000|1200000|1200000|1200000,7.4286,0.3422,1.2909,50000,
12:33:05:127599701,1200000|1200000|1200000|1200000,7.0712,0.3519,1.3444,51000,
12:33:05:279131944,1200000|1200000|1200000|1200000,7.7929,0.4521,1.3676,51000,
12:33:05:430667773,1200000|1200000|1200000|1200000,6.3562,0.2945,1.2878,51000,
12:33:05:582156790,1200000|1200000|1200000|1200000,6.6281,0.3358,1.2543,51000,
12:33:05:733635922,1200000|1200000|1200000|1200000,7.3697,0.3601,1.3139,51000,
12:33:05:885123861,1200000|1200000|1200000|1200000,6.2455,0.3009,1.2988,51000,
12:33:06: 36597415,1200000|1200000|1200000|1200000,7.5582,0.3796,1.3744,52000,
12:33:06:188061306,1200000|1200000|1200000|1200000,7.9027,0.4658,1.4265,51000,
12:33:06:339551097,1200000|1200000|1200000|1200000,6.5818,0.3429,1.2788,52000,
12:33:06:491035188,1200000|1200000|1200000|1200000,6.7560,0.3841,1.3188,51000,
12:33:06:642506395,1200000|1200000|1200000|1200000,6.4831,0.2913,1.2935,51000,
12:33:06:793974141,1200000|1200000|1200000|1200000,7.7022,0.3618,1.3025,52000,
12:33:06:945445127,1200000|1200000|1200000|1200000,7.0019,0.3189,1.3004,50000,
12:33:07: 96919011,1200000|1200000|1200000|1200000,7.7593,0.3798,1.3602,51000,
12:33:07:248357096,1200000|1200000|1200000|1200000,7.5006,0.4082,1.3649,52000,
12:33:07:399847621,1200000|1200000|1200000|1200000,6.6496,0.3218,1.3078,51000,
12:33:07:551304238,1200000|1200000|1200000|1200000,6.5192,0.3164,1.2785,51000,
12:33:07:702789772,1200000|1200000|1200000|1200000,7.8695,0.4012,1.3204,51000,
12:33:07:854249634,1200000|1200000|1200000|1200000,7.7718,0.3843,1.3581,51000,
12:33:08:  5719341,1200000|1200000|1200000|1200000,6.5016,0.3204,1.3370,51000,
12:33:08:157180941,1200000|1200000|1200000|1200000,7.6139,0.4505,1.3712,51000,
12:33:08:308611729,1200000|1200000|1200000|1200000,7.8075,0.4646,1.3893,51000,
12:33:08:460084699,1200000|1200000|1200000|1200000,6.0998,0.3136,1.3376,51000,
12:33:08:611574281,1200000|1200000|1200000|1200000,8.3330,0.4499,1.2958,52000,
12:33:08:763062284,1200000|1200000|1200000|1200000,7.6809,0.4669,1.3448,51000,
12:33:08:914496873,1200000|1200000|1200000|1200000,6.8693,0.4100,1.3524,51000,
12:33:09: 66002288,1200000|1200000|1200000|1200000,7.2708,0.4741,1.3087,52000,
12:33:09:217512430,1200000|1200000|1200000|1200000,8.5172,0.5249,1.4534,52000,
12:33:09:369011911,1200000|1200000|1200000|1200000,8.4930,0.4883,1.3493,51000,
12:33:09:520484817,1200000|1200000|1200000|1200000,7.8538,0.4325,1.3443,51000,
12:33:09:671956072,1200000|1200000|1200000|1200000,8.6767,0.4579,1.3711,51000,
12:33:09:823459875,1200000|1200000|1200000|1200000,8.5184,0.6629,1.8245,51000,
12:33:09:974967508,1200000|1200000|1200000|1200000,7.2515,0.3252,1.3315,51000,
12:33:10:126436860,1200000|1200000|1200000|1200000,6.9294,0.3688,1.3005,50000,
12:33:10:277909435,1200000|1200000|1200000|1200000,7.8113,0.4238,1.3482,50000,
12:33:10:429343151,2200000|2200000|2200000|2200000,15.4777,5.9228,2.4478,53000,
12:33:10:580152627,2200000|2200000|2200000|2200000,37.5747,21.5542,4.6281,53000,
12:33:10:730973104,2200000|2200000|2200000|2200000,37.4750,21.5725,4.6419,54000,
12:33:10:881795201,2200000|2200000|2200000|2200000,37.4894,21.7257,4.6713,54000,
12:33:11: 32575963,2200000|2200000|2200000|2200000,37.7591,21.5943,4.6403,54000,
12:33:11:183364815,2200000|2200000|2200000|2200000,37.4909,21.5756,4.6672,55000,
12:33:11:334150605,2200000|2200000|2200000|2200000,37.7545,21.7356,4.6409,55000,
12:33:11:484934059,2200000|2200000|2200000|2200000,37.5003,21.5867,4.6081,54000,
12:33:11:635717662,2200000|2200000|2200000|2200000,37.5204,21.7486,4.6698,54000,
12:33:11:786507560,2200000|2200000|2200000|2200000,37.7576,21.5935,4.6067,55000,
12:33:11:937282506,2200000|2200000|2200000|2200000,37.5237,21.6101,4.6063,55000,
12:33:12: 88060886,2200000|2200000|2200000|2200000,37.7962,21.7776,4.6371,55000,
12:33:12:238855425,2200000|2200000|2200000|2200000,37.5227,21.6058,4.5777,54000,
12:33:12:389641295,2200000|2200000|2200000|2200000,37.5401,21.7655,4.6700,55000,
12:33:12:540421933,2200000|2200000|2200000|2200000,37.7909,21.6282,4.6396,55000,
12:33:12:691213699,2200000|2200000|2200000|2200000,37.5511,21.6370,4.6657,56000,
12:33:12:841997311,2200000|2200000|2200000|2200000,37.5623,21.7883,4.6370,55000,
12:33:12:992780185,2200000|2200000|2200000|2200000,37.8047,21.6346,4.6376,55000,
12:33:13:143556062,2200000|2200000|2200000|2200000,37.5457,21.6275,4.6379,55000,
12:33:13:294347323,2200000|2200000|2200000|2200000,37.7819,21.7529,4.6378,54000,
12:33:13:445151836,2200000|2200000|2200000|2200000,37.5798,21.6614,4.6378,55000,
12:33:13:595952819,2200000|2200000|2200000|2200000,37.6763,21.9018,4.6713,54000,
12:33:13:746766210,2200000|2200000|2200000|2200000,37.9161,21.7456,4.5799,55000,
12:33:13:897564771,2200000|2200000|2200000|2200000,37.6872,21.9088,4.6416,56000,
12:33:14: 48349880,2200000|2200000|2200000|2200000,37.9481,21.7739,4.6428,56000,
12:33:14:199145588,2200000|2200000|2200000|2200000,37.6755,21.7496,4.6713,55000,
12:33:14:349942790,2200000|2200000|2200000|2200000,37.9438,21.9145,4.6105,55000,
12:33:14:500737546,2200000|2200000|2200000|2200000,37.6768,21.7565,4.6416,56000,
12:33:14:651524413,2200000|2200000|2200000|2200000,37.6920,21.9102,4.6722,56000,
12:33:14:802320954,2200000|2200000|2200000|2200000,37.9354,21.7598,4.6412,56000,
12:33:14:953112914,2200000|2200000|2200000|2200000,37.6909,21.7651,4.6433,55000,
12:33:15:103902171,2200000|2200000|2200000|2200000,37.7038,21.9273,4.6408,55000,
12:33:15:254709153,2200000|2200000|2200000|2200000,37.9354,21.7632,4.6386,56000,
12:33:15:405507365,2200000|2200000|2200000|2200000,37.7271,21.8037,4.6718,57000,
12:33:15:556300437,2200000|2200000|2200000|2200000,37.9833,21.9519,4.6411,56000,
12:33:15:707106364,2200000|2200000|2200000|2200000,37.7310,21.8131,4.6709,57000,
12:33:15:857904890,2200000|2200000|2200000|2200000,37.9937,21.9656,4.6422,56000,
12:33:16:  8692005,2200000|2200000|2200000|2200000,37.7426,21.8189,4.6412,56000,
12:33:16:159488117,2200000|2200000|2200000|2200000,37.7228,21.7978,4.6426,55000,
12:33:16:310284997,2200000|2200000|2200000|2200000,37.9609,21.9278,4.6103,55000,
12:33:16:461093820,2200000|2200000|2200000|2200000,39.5441,22.2172,6.0852,56000,
12:33:16:612019044,2200000|2200000|2200000|2200000,41.4946,22.7416,7.4921,56000,
12:33:16:762933040,2200000|2200000|2200000|2200000,41.2147,22.5795,7.5480,55000,
12:33:16:913821345,2200000|2200000|2200000|2200000,41.4693,22.7385,7.5042,56000,
12:33:17: 64693182,2200000|2200000|2200000|2200000,41.2018,22.5910,7.5027,56000,
12:33:17:215598235,2200000|2200000|2200000|2200000,41.5115,22.7198,7.4742,56000,
12:33:17:366507838,2200000|2200000|2200000|2200000,41.2559,22.5951,7.5657,56000,
12:33:17:517400514,2200000|2200000|2200000|2200000,41.5211,22.7477,7.4835,56000,
12:33:17:668301129,2200000|2200000|2200000|2200000,41.2609,22.5842,7.4462,56000,
12:33:17:819201510,2200000|2200000|2200000|2200000,41.5218,22.7444,7.4484,56000,
12:33:17:970169793,2200000|2200000|2200000|2200000,41.2126,22.7436,7.4267,56000,
12:33:18:121035407,2200000|2200000|2200000|2200000,41.5139,22.5999,7.5022,56000,
12:33:18:271936897,2200000|2200000|2200000|2200000,41.1845,22.7152,7.4899,56000,
12:33:18:422885179,2200000|2200000|2200000|2200000,41.4249,22.5724,7.5213,56000,
12:33:18:573798741,2200000|2200000|2200000|2200000,41.2753,22.7538,7.5072,56000,
12:33:18:724683786,2200000|2200000|2200000|2200000,41.4543,22.5935,7.4640,56000,
12:33:18:875569528,2200000|2200000|2200000|2200000,41.2656,22.7465,7.4725,55000,
12:33:19: 26471013,2200000|2200000|2200000|2200000,41.5449,22.6048,7.4393,56000,
12:33:19:177368563,2200000|2200000|2200000|2200000,41.1971,22.7390,7.5522,56000,
12:33:19:328263957,2200000|2200000|2200000|2200000,41.5070,22.5786,7.4762,56000,
12:33:19:479194825,2200000|2200000|2200000|2200000,41.1376,22.8622,7.5802,56000,
12:33:19:630080648,2200000|2200000|2200000|2200000,41.4810,22.8562,7.5675,56000,
12:33:19:780966918,2200000|2200000|2200000|2200000,41.2204,22.9422,7.7571,56000,
