54459.746000051,45.216
54459.845999956,76.960
54459.946000099,35.766
54460.046000003,35.655
54460.145999908,41.888
54460.246000051,36.054
54460.345999956,38.701
54460.446000099,37.903
54460.546000003,37.942
54460.645999908,38.112
54460.746000051,38.463
54460.845999956,37.962
54460.946000099,38.243
54461.046000003,38.483
54461.145999908,38.469
54461.246000051,38.253
54461.345999956,38.256
54461.446000099,37.627
54461.546000003,38.093
54461.645999908,38.145
54461.746000051,38.445
54461.845999956,40.149
54461.946000099,37.365
54462.046000003,38.291
54462.145999908,38.701
54462.246000051,37.973
54462.345999956,38.190
54462.446000099,38.350
54462.546000003,37.864
54462.645999908,37.874
54462.746000051,38.112
54462.845999956,37.962
54462.946000099,37.739
54463.046000003,38.556
54463.145999908,37.706
54463.246000051,38.966
54463.345999956,38.350
54463.446000099,39.384
54463.546000003,39.419
54463.645999908,37.869
54463.746000051,38.176
54463.845999956,38.966
54463.946000099,37.969
54464.046000003,38.241
54464.145999908,38.303
54464.246000051,38.612
54464.345999956,38.556
54464.446000099,38.915
54464.546000003,38.276
54464.645999908,37.904
54464.746999979,38.382
54464.846999883,38.675
54464.937000036,37.699
54465.038000106,38.289
54465.138000011,37.975
54465.237999916,38.105
54465.338000059,38.543
54465.437999963,38.447
54465.538000106,39.894
54465.637000083,38.017
54465.736999988,37.781
54465.836999893,38.899
54465.937000036,37.479
54466.03699994,38.451
54466.138000011,38.071
54466.236999988,38.188
54466.336999893,38.135
54466.437000036,38.363
54466.538000106,38.149
54466.638000011,38.570
54466.737999916,41.169
54466.836999893,39.633
54466.937999963,37.773
54467.038000106,38.421
54467.138000011,37.935
54467.237999916,38.155
54467.336999893,38.291
54467.437000036,39.041
54467.538000106,38.179
54467.637000083,38.120
54467.736999988,39.019
54467.838000059,39.081
54467.937000036,37.828
54468.038000106,38.052
54468.137000083,37.959
54468.236999988,37.785
54468.336999893,37.904
54468.437000036,38.168
54468.53699994,38.704
54468.637000083,38.496
54468.736999988,38.472
54468.836999893,39.505
54468.937000036,38.113
54469.038000106,38.381
54469.137000083,38.382
54469.236999988,38.248
54469.336999893,38.179
54469.437999963,38.191
54469.545000076,38.287
54469.64499998,38.339
54469.744999885,38.484
54469.845000028,39.058
54469.944999933,38.458
54470.045000076,38.640
54470.14499998,38.654
54470.244999885,37.981
54470.345000028,38.187
54470.444999933,38.361
54470.545000076,38.065
54470.64499998,38.131
54470.744999885,38.200
54470.845000028,38.658
54470.944999933,38.033
54471.045000076,38.778
54471.14499998,38.693
54471.244999885,38.194
54471.345000028,38.192
54471.444999933,38.503
54471.545000076,38.134
54471.64499998,38.026
54471.744999885,38.338
54471.845000028,40.184
54471.944000005,37.856
54472.04399991,38.380
54472.144000053,38.354
54472.243999958,38.483
54472.344000101,38.577
54472.444000005,38.555
54472.54399991,38.331
54472.644000053,38.319
