0,Processor Power_0 (Watt)IA Power_0 (Watt),0
35624.448557271,26.6272,17.756
35624.551352424,21.8610,14.187
35624.652382402,12.2283,5.2531
35624.753228353,16.7738,8.7771
35624.854072455,16.6691,8.8518
35624.954926837,16.1672,8.0755
35625.056597076,12.7958,4.9192
35625.158105385,14.1172,6.1818
35625.25970651,12.8124,4.736
35625.361316849,13.1148,5.1807
35625.462892291,13.1489,5.2538
35625.56457361,17.8385,9.444
35625.667944144,29.7075,20.523
35625.770752622,31.4490,21.94
35625.873351387,31.2096,21.961
35625.976249106,31.2666,21.941
35626.079623254,31.2112,21.935
35626.181448882,31.1022,22.11
35626.28852304,31.3171,21.81
35626.391404987,31.3329,22.018
35626.494357069,31.0173,21.996
35626.597284889,31.3553,21.854
35626.70048934,31.2422,21.933
35626.802987765,29.8280,20.563
35626.905691541,30.7674,21.736
35627.008430632,31.3731,21.841
35627.111220662,31.0158,21.982
35627.214262901,31.2891,21.759
35627.317083536,31.3877,22.061
35627.419866041,31.0312,21.788
35627.522593324,31.0630,22.029
35627.625655354,31.2244,21.888
35627.728757595,31.2386,21.718
35627.831807254,31.2511,21.938
35627.934905184,31.2847,21.963
35628.037812308,31.0826,22.033
35628.140782564,31.3543,21.819
35628.243477477,30.6775,21.619
35628.346102008,30.2251,20.652
35628.448769834,30.3378,21.1
35628.551684464,31.3207,21.993
35628.654333035,30.4941,21.227
35628.757306413,31.2054,21.881
35628.860187324,30.9113,21.905
35628.962944973,31.1387,21.827
35629.066297069,31.0287,21.563
35629.169171942,30.6966,21.739
35629.27177518,31.1230,21.572
35629.373784076,30.3988,21.46
35629.475876238,30.6602,21.375
35629.578632524,31.2145,21.646
35629.681662632,30.7054,21.713
35629.786300402,30.7074,21.195
35629.888712932,30.7492,21.491
35629.990208025,30.1247,20.935
35630.091769644,28.9782,19.947
35630.193574514,29.8265,20.383
35630.296356108,30.4306,21.185
35630.398283303,29.6725,20.663
35630.500803511,28.7481,19.617
35630.602336093,29.1093,19.938
35630.704216895,28.5136,19.148
35630.806845991,26.5622,17.8
35630.909325977,25.9682,16.81
35631.011207214,24.9186,16.342
35631.11418082,26.8593,17.66
35631.215448413,26.7822,17.867
35631.318219119,23.7327,15.38
35631.419828861,22.8175,14.042
35631.521807342,22.3794,13.898
35631.622965544,22.5055,14.057
35631.723956286,22.5485,14.079
35631.825145598,22.5911,14.385
35631.92695511,22.6026,13.881
35632.030013587,19.3875,11.325
35632.131505147,23.6555,14.984
35632.23258281,23.2733,14.745
35632.334958074,22.8335,14.229
35632.436054656,21.7680,13.351
35632.537672538,20.9912,12.836
35632.638648907,21.1902,12.835
35632.740697856,18.8909,11.82
35632.842458026,20.3950,12.244
35632.943684877,22.0814,13.674
35633.044765563,22.4319,13.98
35633.145798187,21.2003,13.026
35633.247077339,23.6502,15.049
35633.349263842,23.2135,14.858
35633.451893486,21.4002,12.908
35633.552919213,20.6053,12.7
35633.654504535,19.6893,11.795
35633.756374602,22.3537,13.897
35633.857894905,22.3289,13.914
35633.960307792,22.9919,14.44
35634.0618596,21.2667,12.993
35634.164115208,20.7149,12.43
35634.26511324,20.1659,12.056
35634.366479274,19.2149,11.706
35634.467703021,20.4653,12.289
35634.569150792,20.3646,12.299
35634.670544645,22.0466,13.644
35634.771825143,24.1744,15.524
35634.872983594,22.4655,13.959
35634.975519735,19.3445,11.58
35635.077257365,21.9985,13.367
35635.179243226,23.2286,14.728
35635.282055638,21.8096,13.316
35635.383816966,22.2983,14.062
35635.4869936,22.0050,13.534
35635.587966077,21.4790,13.277
35635.68922983,20.2489,12.294
35635.790679192,20.0183,11.902
35635.891833942,21.5983,13.541
35635.993057078,21.1445,12.248
35636.094204092,22.7581,14.312
35636.195946388,24.2925,15.33
35636.297261291,20.6931,12.904
35636.398218383,19.0633,11.331
35636.500783676,18.5313,10.442
35636.602847515,20.4265,12.312
35636.704175262,21.3157,13.403
35636.806151601,20.6834,12.504
35636.908232155,21.4621,13.49
35637.010106574,19.7963,11.645
35637.112477591,20.9890,12.507
35637.213520523,20.7218,12.974
35637.314880607,20.2846,12.136
35637.416422474,21.8658,13.558
35637.518826479,21.5765,13.185
35637.620023776,21.8209,13.453
35637.720977734,21.5203,13.63
35637.82198826,19.9087,12.343
35637.923239455,19.1173,11.777
35638.026157238,17.4613,10.157
35638.127145959,21.3686,13.183
35638.228206765,22.0209,13.441
35638.329173654,20.8739,12.716
35638.430615381,21.6501,13.432
35638.533904034,20.4362,11.953
35638.634896766,21.7095,13.419
35638.737637889,20.1195,12.174
35638.838574995,22.0509,13.778
35638.939630642,23.6075,14.963
35639.040785825,20.6114,12.643
35639.142892838,21.5390,13.103
35639.244811625,21.6919,13.566
35639.346073772,19.1726,11.555
35639.447362702,19.9048,11.805
35639.549598387,17.4292,10.181
35639.651855001,22.6739,14.059
35639.753117329,23.2826,14.68
35639.855074232,19.8021,12.015
35639.95634905,22.3814,13.926
35640.057600195,21.1654,13.227
35640.158618412,19.5907,11.728
35640.260780033,21.8641,13.391
35640.362006399,23.8163,14.942
35640.463172596,21.1684,12.643
35640.564654359,18.3431,11.023
35640.66571435,19.4129,12.018
35640.768521227,20.1855,12.406
35640.870371189,19.2196,11.496
35640.971416561,19.3567,11.94
35641.072915519,20.9680,12.69
35641.175896126,21.7804,13.316
35641.277350658,22.0481,13.683
35641.379192499,22.9966,14.615
35641.480384645,21.2725,12.643
35641.581432325,18.5929,11.165
35641.682873247,20.0352,12.012
35641.784382534,19.1590,11.754
35641.886297844,21.7383,13.146
