1445352819.221,1445352819.321,220.809,51.810,60.455,35.553,35.764,36.002
1445352819.321,1445352819.421,230.851,52.183,70.043,35.646,35.713,36.197
1445352819.421,1445352819.521,189.061,51.964,28.401,35.567,35.741,36.157
1445352819.521,1445352819.621,212.086,52.374,50.924,35.741,35.903,35.981
1445352819.621,1445352819.721,207.719,51.939,46.868,35.527,36.119,36.346
1445352819.721,1445352819.821,206.526,51.917,45.911,35.654,35.941,35.988
1445352819.821,1445352819.921,203.083,51.808,42.595,35.533,35.778,36.247
1445352819.921,1445352820.021,203.466,52.063,42.926,35.726,35.633,36.229
1445352820.021,1445352820.121,205.465,51.939,44.910,35.747,35.772,35.983
1445352820.121,1445352820.221,202.380,52.013,41.390,35.950,35.805,36.277
1445352820.221,1445352820.321,205.319,52.021,44.276,35.996,35.769,36.542
1445352820.321,1445352820.421,204.893,52.098,44.560,35.481,35.696,36.078
1445352820.421,1445352820.521,226.674,51.965,66.017,35.617,35.773,36.108
1445352820.521,1445352820.621,232.018,52.091,71.395,35.710,35.827,35.999
1445352820.621,1445352820.721,225.629,51.831,65.341,35.631,35.574,36.043
1445352820.721,1445352820.821,229.818,52.045,68.941,35.831,35.824,36.257
1445352820.821,1445352820.921,228.510,52.055,67.574,35.556,36.026,36.103
1445352820.921,1445352821.021,228.695,51.911,68.150,35.588,35.980,36.085
1445352821.021,1445352821.121,228.515,51.884,67.910,35.637,35.688,36.222
1445352821.121,1445352821.221,228.347,51.797,67.830,35.525,35.935,36.021
1445352821.221,1445352821.321,228.868,52.067,68.111,35.916,35.647,36.103
1445352821.321,1445352821.421,228.815,52.120,67.888,35.830,35.713,36.280
1445352821.421,1445352821.521,229.140,51.968,68.475,35.505,35.723,36.393
1445352821.521,1445352821.621,227.910,52.024,67.678,35.682,35.810,35.877
1445352821.621,1445352821.721,226.688,52.597,65.264,35.682,35.798,36.224
1445352821.721,1445352821.821,229.209,51.914,68.467,35.722,35.742,36.291
1445352821.821,1445352821.921,228.465,51.848,67.973,35.526,35.821,36.213
1445352821.921,1445352822.021,228.627,52.058,67.503,35.776,35.812,36.365
1445352822.021,1445352822.121,229.067,51.954,68.326,35.862,36.079,35.968
1445352822.121,1445352822.221,228.185,52.077,67.764,35.520,35.801,36.211
1445352822.221,1445352822.321,228.840,51.966,67.789,35.659,36.181,36.113
1445352822.321,1445352822.421,229.123,52.015,68.445,35.787,35.714,36.180
1445352822.421,1445352822.521,229.066,51.994,68.027,35.803,35.701,36.424
