System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
12:43:19:138683811,1200000|1500000|1200000|1500000,26.5917,9.7758,6.2466,50000,
12:43:19:290085672,1600000|1500000|1900000|1300000,28.2628,11.4979,6.2207,50000,
12:43:19:441297296,1600000|1600000|1700000|1200000,28.8697,12.2518,5.8976,50000,
12:43:19:592431723,1300000|1600000|1200000|1500000,28.2012,11.4482,5.9433,50000,
12:43:19:745342546,1400000|1800000|1500000|1400000,27.3992,10.9355,5.7755,51000,
12:43:19:896609162,2000000|1300000|1200000|1500000,27.5734,10.4859,6.3302,50000,
12:43:20: 47661406,1400000|1200000|1200000|1200000,27.4715,10.5007,6.2101,50000,
12:43:20:199061543,1700000|1200000|1200000|1200000,21.5423,5.2467,5.2150,50000,
12:43:20:350239793,1200000|1600000|1400000|1400000,24.0928,7.5459,5.7940,50000,
12:43:20:501889653,1200000|1200000|1200000|1200000,18.8467,2.7661,4.6333,50000,
12:43:20:653466607,1500000|1200000|1500000|1400000,23.7721,7.2245,5.8551,49000,
12:43:20:804791673,1500000|1200000|1200000|1400000,18.5538,2.5861,4.6403,50000,
12:43:20:956011867,1300000|1600000|1300000|1800000,24.1722,7.6086,5.5381,49000,
12:43:21:107227783,1200000|1200000|1200000|1800000,18.6302,2.7797,4.6986,12:43:21:392390606,1200000|1300000|1200000|1400000,21.7478,5.5378,5.0517,49000,
12:43:21:893722182,1600000|1500000|1500000|2100000,25.7327,9.4002,5.4564,52000,
12:43:22:394953216,1500000|1200000|1900000|1200000,28.7265,12.1883,5.9320,52000,
12:43:22:896031594,1400000|1600000|1300000|1800000,27.9606,11.4536,5.8691,51000,
12:43:23:397140296,1200000|1700000|1800000|1900000,28.7478,12.1096,5.8775,51000,
12:43:23:898371816,1500000|2000000|1800000|1700000,27.8099,11.3092,5.7761,52000,
12:43:24:399527071,1600000|2100000|1700000|2100000,28.6360,12.1218,5.7963,52000,
12:43:24:900627453,1900000|1400000|1700000|1300000,27.5303,10.9904,5.7728,51000,
12:43:25:401722427,1300000|1700000|1200000|1700000,25.2667,8.8326,5.5027,50000,
12:43:25:903233885,1500000|1300000|1300000|1200000,24.2671,7.8773,5.3562,51000,
12:43:26:404487062,1200000|1500000|1200000|1200000,22.9538,6.6981,5.1444,50000,
12:43:26:906023794,1200000|1600000|1200000|1300000,22.5458,6.3115,5.1360,50000,
12:43:27:407627942,1500000|1200000|1400000|1500000,22.5047,6.1666,5.2118,50000,
12:43:27:908910239,2100000|1200000|1400000|1500000,22.7659,6.4923,5.2659,51000,
12:43:28:409951774,1600000|1800000|1800000|2000000,22.7012,6.5034,5.1336,51000,
12:43:28:911035741,1500000|1800000|1200000|1700000,23.3094,7.0501,5.3055,50000,
12:43:29:412133749,1200000|1200000|1500000|1200000,24.7534,8.3283,5.5389,50000,
12:43:29:913697508,1300000|1300000|1200000|1900000,24.7768,8.2747,5.5159,52000,
12:43:30:415164986,1900000|2000000|1200000|1300000,24.8596,8.4262,5.4847,52000,
12:43:30:916369660,1200000|1400000|1900000|1200000,23.3680,7.0003,5.3078,51000,
12:43:31:417576121,2000000|1200000|1200000|1800000,23.4320,7.0540,5.3297,50000,
12:43:31:918586006,1200000|1200000|1700000|1900000,22.4201,6.1579,5.1765,51000,
12:43:32:420063850,1200000|1800000|1500000|1200000,22.8218,6.5414,5.2175,50000,
12:43:32:921284279,1300000|1200000|1600000|1300000,23.1664,6.8601,5.2877,51000,
12:43:33:422642356,1300000|1700000|1200000|1600000,22.4724,6.1912,5.2941,50000,
12:43:33:924161200,1200000|1200000|1300000|1700000,22.4850,6.2057,5.1665,49000,
12:43:34:425762174,1200000|1200000|1200000|1500000,22.2378,5.9892,5.1531,50000,
12:43:34:927260546,1700000|1300000|1300000|1400000,22.4199,6.1554,5.1972,50000,
12:43:35:428426572,1200000|1200000|1200000|1700000,23.1045,6.8084,5.2721,52000,
12:43:35:929643023,1300000|1500000|1200000|1400000,23.1205,6.7965,5.2310,50000,
12:43:36:431188976,1200000|1400000|1200000|1500000,22.2358,5.9620,5.1902,50000,
