System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
13:26:37: 91677103,1200000|1200000|1200000|1200000,7.8310,0.4356,1.4014,45000,
13:26:37:243247576,1200000|1200000|1200000|1200000,7.7750,0.3559,1.2947,45000,
13:26:37:394729985,1200000|1200000|1200000|1200000,8.0687,0.4481,1.4145,44000,
13:26:37:546206597,1200000|1200000|1200000|1200000,6.7123,0.3320,1.2949,45000,
13:26:37:697680095,1200000|1200000|1200000|1200000,8.2817,0.4444,1.3081,45000,
13:26:37:849162194,1200000|1200000|1200000|1200000,7.6747,0.3622,1.3205,44000,
13:26:38:   634475,1200000|1200000|1200000|1200000,7.8693,0.3701,1.3521,45000,
13:26:38:152105542,1200000|1200000|1200000|1200000,6.6197,0.3464,1.3049,45000,
13:26:38:303631590,1200000|1200000|1200000|1200000,7.1834,0.3421,1.3011,46000,
13:26:38:455163319,1200000|1200000|1200000|1200000,6.3118,0.3470,1.3198,45000,
13:26:38:606685062,1200000|1200000|1200000|1200000,6.9171,0.3969,1.2779,45000,
13:26:38:758167268,1200000|1200000|1200000|1200000,8.1989,0.4032,1.3392,46000,
13:26:38:909649463,1200000|1200000|1200000|1200000,7.1058,0.3354,1.2867,45000,
13:26:39: 61133222,1200000|1200000|1200000|1200000,8.2749,0.4548,1.3721,45000,
13:26:39:212608526,1200000|1200000|1200000|1200000,7.9033,0.4101,1.4077,45000,
13:26:39:364071784,1200000|1200000|1200000|1200000,7.0995,0.3720,1.3116,45000,
13:26:39:515591031,1200000|1200000|1200000|1200000,6.9327,0.3313,1.3060,45000,
13:26:39:667140432,1200000|1200000|1200000|1200000,7.4616,0.4017,1.3058,46000,
13:26:39:818678544,1200000|1200000|1200000|1200000,8.1821,0.4140,1.3464,45000,
13:26:39:970153490,1200000|1200000|1200000|1200000,6.1678,0.2873,1.2810,46000,
13:26:40:121633065,1200000|1200000|1200000|1200000,7.4160,0.3607,1.3230,45000,
13:26:40:273126782,1200000|1200000|1200000|1200000,7.6130,0.3397,1.3162,45000,
13:26:40:424607524,1200000|1200000|1200000|1200000,6.0020,0.3416,1.3330,46000,
13:26:40:576084684,1200000|1200000|1200000|1200000,7.1440,0.3331,1.3155,46000,
13:26:40:727587535,1200000|1200000|1200000|1200000,7.2900,0.3701,1.3121,46000,
13:26:40:879137748,1200000|1200000|1200000|1200000,6.3019,0.3025,1.2816,46000,
13:26:41: 30672549,1200000|1200000|1200000|1200000,6.9001,0.3336,1.3031,46000,
13:26:41:182161056,1200000|1200000|1200000|1200000,6.6755,0.3471,1.2543,46000,
13:26:41:333654325,1200000|1200000|1200000|1200000,7.5828,0.4146,1.3168,46000,
13:26:41:485143410,1200000|1200000|1200000|1200000,7.7264,0.4055,1.3139,47000,
13:26:41:636662986,1200000|1200000|1200000|1200000,7.3858,0.3777,1.3281,46000,
13:26:41:788148895,1200000|1200000|1200000|1200000,7.2266,0.3464,1.3024,46000,
13:26:41:939658740,1200000|1200000|1200000|1200000,6.2671,0.3114,1.2992,46000,
13:26:42: 91192162,1200000|1200000|1200000|1200000,7.0152,0.3623,1.2966,46000,
13:26:42:243173091,1200000|1200000|1200000|1200000,7.4283,0.3380,1.2921,45000,
13:26:42:394713747,1200000|1200000|1200000|1200000,8.6757,0.4668,1.3475,47000,
13:26:42:546204944,1200000|1200000|1200000|1200000,6.5819,0.3030,1.2474,46000,
13:26:42:697689764,1200000|1200000|1200000|1200000,7.2608,0.4223,1.3740,47000,
13:26:42:849187334,1200000|1200000|1200000|1200000,7.6979,0.3353,1.3325,45000,
13:26:43:   665138,1200000|1200000|1200000|1200000,8.0217,0.4281,1.3430,45000,
13:26:43:152155204,1200000|1200000|1200000|1200000,7.2497,0.3538,1.3682,46000,
13:26:43:303675543,1200000|1200000|1200000|1200000,7.1429,0.3944,1.3158,45000,
13:26:43:455212657,1200000|1200000|1200000|1200000,6.6206,0.3664,1.3207,45000,
13:26:43:606704842,1200000|1200000|1200000|1200000,7.0073,0.3352,1.3006,46000,
13:26:43:758196574,1200000|1200000|1200000|1200000,7.6020,0.5005,1.4174,46000,
13:26:43:909682310,1200000|1200000|1200000|1200000,8.3581,0.4137,1.2915,45000,
13:26:44: 61163868,1200000|1200000|1200000|1200000,6.9416,0.3866,1.3423,45000,
13:26:44:212654688,1200000|1200000|1200000|1200000,8.4276,0.5411,1.4139,45000,
13:26:44:364137375,1200000|1200000|1200000|1200000,8.1565,0.5679,1.3738,45000,
13:26:44:515644900,1200000|1200000|1200000|1200000,7.2579,0.3568,1.2847,46000,
13:26:44:667176438,1200000|1200000|1200000|1200000,8.1951,0.4384,1.3316,45000,
13:26:44:818735572,1200000|1200000|1200000|1200000,7.3332,0.3292,1.3087,45000,
13:26:44:970217549,1200000|1200000|1200000|1200000,7.2152,0.3303,1.2766,46000,
13:26:45:121700776,1200000|1200000|1200000|1200000,7.4187,0.3633,1.2583,45000,
13:26:45:273165643,1200000|1200000|1200000|1200000,11.7683,1.5705,2.1052,45000,
13:26:45:424653569,1200000|1200000|1200000|1200000,10.2697,0.6718,1.5288,46000,
13:26:45:576106608,1200000|1200000|1200000|1200000,9.2220,0.5796,1.3201,46000,
13:26:45:727612669,1200000|1200000|1200000|1200000,10.5014,0.6406,1.4841,45000,
13:26:45:879118961,1200000|1200000|1200000|1200000,9.4094,0.5387,1.3619,45000,
13:26:46: 30626684,1200000|1200000|1200000|1200000,9.5949,0.5605,1.3931,46000,
13:26:46:182089390,1200000|1200000|1200000|1200000,10.1096,0.6158,1.4359,45000,
13:26:46:333584592,2200000|2200000|2200000|2200000,41.8576,21.1420,8.9938,48000,
13:26:46:484747148,2200000|2200000|2200000|2200000,44.4410,23.3940,9.5736,47000,
13:26:46:635866631,2200000|2200000|2200000|2200000,44.7885,23.2619,9.4774,48000,
13:26:46:786982527,2200000|2200000|2200000|2200000,42.7980,21.7456,9.3716,48000,
13:26:46:938496772,2200000|2200000|2200000|2200000,42.4167,21.2211,10.6851,47000,
13:26:47: 90016651,2200000|2200000|2200000|2200000,42.4073,21.2120,10.6125,47000,
13:26:47:241528159,2200000|2200000|2200000|2200000,42.3922,21.3409,10.6914,47000,
13:26:47:392946592,2200000|2200000|2200000|2200000,42.4295,21.2195,10.7008,48000,
13:26:47:544424240,2200000|2200000|2200000|2200000,42.6321,21.5530,10.0953,48000,
13:26:47:695577076,2200000|2200000|2200000|2200000,44.5540,23.2174,9.0798,48000,
13:26:47:846695682,2200000|2200000|2200000|2200000,44.7947,23.4314,9.2479,48000,
13:26:47:997772401,2200000|2200000|2200000|2200000,44.6024,23.4563,9.6621,48000,
13:26:48:148809284,2200000|2200000|2200000|2200000,42.5305,21.1904,10.0422,48000,
13:26:48:300378193,2200000|2200000|2200000|2200000,42.3858,21.3492,10.6913,48000,
13:26:48:451883924,2200000|2200000|2200000|2200000,42.4155,21.2240,10.5464,49000,
13:26:48:603357728,2200000|2200000|2200000|2200000,42.4704,21.2473,10.6758,48000,
13:26:48:754830398,2200000|2200000|2200000|2200000,42.7208,21.2371,10.6920,48000,
13:26:48:906310433,2200000|2200000|2200000|2200000,43.5862,22.3265,10.2457,49000,
13:26:49: 57488248,2200000|2200000|2200000|2200000,44.4696,23.4395,9.3216,49000,
13:26:49:208686700,2200000|2200000|2200000|2200000,44.7925,23.2862,9.5742,48000,
13:26:49:359745460,2200000|2200000|2200000|2200000,44.9236,23.4489,9.6419,48000,
13:26:49:510904265,2200000|2200000|2200000|2200000,41.7166,20.6098,10.5052,48000,
13:26:49:662510215,2200000|2200000|2200000|2200000,42.3995,21.2086,10.6700,48000,
13:26:49:814043689,2200000|2200000|2200000|2200000,42.4334,21.2242,10.6686,48000,
13:26:49:965561921,2200000|2200000|2200000|2200000,42.4433,21.2389,10.4744,49000,
13:26:50:117022286,2200000|2200000|2200000|2200000,42.3863,21.1930,10.6278,49000,
13:26:50:268145148,2200000|2200000|1300000|2200000,44.2241,22.9715,9.4872,48000,
13:26:50:419188623,2200000|2200000|2200000|2200000,41.6912,20.5716,10.5412,48000,
13:26:50:570740880,2200000|2200000|2200000|2200000,43.9529,22.7165,9.9318,49000,
13:26:50:721924070,2200000|2200000|2200000|2200000,41.4998,20.6601,10.3714,48000,
13:26:50:873501597,2200000|2200000|2200000|2200000,43.7072,22.3242,9.8213,49000,
13:26:51: 24638175,2200000|2200000|2200000|2200000,42.0235,21.1334,10.2390,49000,
13:26:51:176142116,2200000|2200000|2200000|2200000,43.2399,21.9780,10.4595,49000,
13:26:51:327294855,2200000|2200000|2200000|2200000,42.5586,21.4096,9.8501,50000,
13:26:51:479260222,2200000|2200000|2200000|2200000,42.9782,21.5222,10.6013,48000,
13:26:51:630423358,2200000|2200000|2200000|2200000,42.3714,21.3265,9.5779,49000,
13:26:51:781968603,2200000|2200000|2200000|2200000,42.4425,21.2430,10.6204,48000,
13:26:51:933087770,2200000|2200000|1200000|2200000,43.3216,22.3278,9.4318,49000,
13:26:52: 84564182,2200000|2200000|2200000|2200000,42.6433,21.1821,10.6584,49000,
13:26:52:236138374,2200000|2200000|2200000|2200000,44.3359,22.9781,10.0741,49000,
13:26:52:387454940,2200000|2200000|2200000|2200000,41.5360,20.4949,10.3698,49000,
13:26:52:538983886,2200000|2200000|2200000|2200000,43.9127,22.5915,10.1379,49000,
13:26:52:690179329,2200000|2200000|2200000|2200000,41.8153,20.7064,10.2360,48000,
13:26:52:841725992,2200000|2200000|2200000|2200000,43.4807,22.2113,10.2284,49000,
13:26:52:992823216,2200000|2200000|2200000|2200000,41.9807,21.1340,9.8670,49000,
13:26:53:144320097,2200000|2200000|2200000|2200000,43.0590,21.8306,10.2952,49000,
13:26:53:295443202,2200000|2200000|2200000|2200000,42.6832,21.5556,9.7265,49000,
13:26:53:446999451,2200000|2200000|2200000|2200000,42.5910,21.4040,10.6403,50000,
13:26:53:598244717,2200000|2200000|2200000|2200000,42.2876,21.0546,10.0756,50000,
