15:25:21:810967849,2000000000,2000000000,10000000
15:25:25:311153246,500000000,2000000000,10000000
15:25:28:811315100,200000000,2000000000,10000000
15:25:32:311628137,100000000,2000000000,10000000
15:25:35:811853914,70000000,2000000000,10000000
15:25:39:312061524,50000000,2000000000,10000000
15:25:42:812303502,30000000,2000000000,10000000
15:25:46:312491828,25000000,2000000000,10000000
15:25:49:812733631,20000000,2000000000,10000000
15:25:53:312984228,15000000,2000000000,10000000
15:25:56:813205298,10000000,2000000000,10000000
15:26:00:313444756,7000000,2000000000,10000000
15:26:03:813675626,6000000,2000000000,10000000
15:26:07:313863890,5000000,2000000000,10000000
15:26:10:814043674,3000000,2000000000,10000000
15:26:14:314211392,2000000,2000000000,10000000
15:26:17:814370572,1000000,2000000000,10000000
15:26:21:314478652,500000,2000000000,10000000
15:26:24:814614839,100000,2000000000,10000000
15:26:28:314744049,0,2000000000,10000000
