System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:13:22:545802015,1500000|1500000|1300000|1600000,23.8779,7.8382,4.7199,50000,
15:13:22:880066244,1700000|1200000|1500000|1500000,25.0289,9.0444,4.7599,50000,
15:13:23:214188925,1200000|1700000|1700000|1700000,24.6210,8.5997,4.6980,50000,
15:13:23:548309015,1700000|1900000|1200000|1200000,27.4428,11.2165,5.1426,50000,
15:13:23:882326310,1900000|1200000|1200000|1200000,23.8731,7.8764,4.7003,50000,
15:13:24:216345490,1200000|1200000|1500000|1900000,25.9366,9.9572,4.6723,51000,
15:13:24:550369147,1700000|1900000|1200000|1500000,24.1449,8.0604,4.7790,51000,
15:13:24:884420365,1700000|1800000|1500000|1500000,25.0462,9.0526,4.6615,51000,
15:13:25:218613641,1500000|1200000|1600000|1600000,27.2457,10.9647,5.1631,50000,
15:13:25:552783937,1500000|1200000|1600000|1300000,24.9663,8.9737,4.7089,50000,
15:13:25:887075970,2000000|1200000|1500000|1400000,24.7288,8.6984,4.7161,50000,
15:13:26:221320974,1500000|1800000|1200000|1200000,24.9018,8.8925,4.7158,51000,
15:13:26:555542013,1200000|1500000|1500000|1700000,26.9586,10.7208,5.1129,50000,
15:13:26:889868513,1600000|1400000|1500000|1500000,24.9723,8.9287,4.7262,50000,
15:13:27:224094416,1400000|1200000|1200000|1200000,23.6577,7.6522,4.7106,50000,
15:13:27:558458650,1300000|1300000|1400000|1600000,23.5811,7.6116,4.6834,50000,
15:13:27:892933068,1400000|1300000|1400000|1400000,24.4391,8.4058,4.7174,51000,
15:13:28:227254808,1200000|1200000|1200000|1200000,25.8893,9.6532,5.2026,49000,
15:13:28:561849432,1400000|1400000|1600000|1800000,24.5721,8.5327,4.7513,51000,
15:13:28:896203668,1600000|1200000|1200000|1800000,24.1726,8.2030,4.7118,50000,
15:13:29:230434071,1400000|1700000|2200000|1200000,23.9314,7.8615,4.7269,50000,
15:13:29:564343896,1300000|1500000|1200000|1300000,23.9981,8.0231,4.6800,50000,
15:13:29:898617754,1400000|1200000|1400000|1700000,24.6469,8.5546,4.7686,51000,
15:13:30:232751801,1500000|1300000|1400000|1200000,26.7441,10.5736,5.0369,50000,
15:13:30:567006597,2200000|1200000|1300000|1800000,25.3316,9.3641,4.6029,51000,
15:13:30:901323067,1800000|1800000|1900000|1900000,25.1272,9.0672,4.7295,51000,
15:13:31:235344471,1200000|1600000|1700000|1400000,24.5959,8.5767,4.7032,52000,
15:13:31:569946494,1600000|1600000|1200000|1400000,25.2223,9.2722,4.7158,51000,
