Starting power gadget at 1434773393.358696272
Clock resolution:
	tv_sec: 0
	tv_nsec: 1
Current time:
	tv_sec: 105017
	tv_nsec: 187859518
Current time (s): 105017.187860
Total energy consumed: 2626.191162
Time (s) Power (W)
Starting stress at 1434773398.365229034
Step to 31.900 at 1434775842.239245468
Step to 28.100 at 1434775857.303143100
Step to 31.800 at 1434775872.355469224
Step to 28.200 at 1434775887.410126924
Step to 31.700 at 1434775902.463235945
Step to 28.300 at 1434775917.507160918
Step to 31.600 at 1434775932.563236472
Step to 28.400 at 1434775947.623149187
Step to 31.500 at 1434775962.687231784
Step to 28.500 at 1434775977.739165512
Step to 31.400 at 1434775992.787215372
Step to 28.600 at 1434776007.855129511
Step to 31.300 at 1434776022.903224867
Step to 28.700 at 1434776037.951170116
Step to 31.200 at 1434776053.007187870
Step to 28.800 at 1434776068.051163374
Step to 31.100 at 1434776083.119183483
Step to 28.900 at 1434776098.175162375
Step to 31.000 at 1434776113.227201512
Step to 29.000 at 1434776128.287142985
Step to 30.900 at 1434776143.343200967
Step to 29.100 at 1434776158.392507907
Step to 30.800 at 1434776173.447191180
Step to 29.200 at 1434776188.463816206
Step to 30.700 at 1434776203.511204249
Step to 29.300 at 1434776218.575164738
Step to 30.600 at 1434776233.617655293
Step to 29.400 at 1434776248.667164496
Step to 30.500 at 1434776263.727226247
Step to 29.500 at 1434776278.783166632
Step to 30.400 at 1434776293.831210903
Step to 29.600 at 1434776308.903168498
Step to 30.300 at 1434776323.951210650
Step to 29.700 at 1434776338.999180619
Step to 30.200 at 1434776354.051186504
Step to 29.800 at 1434776369.095197221
Step to 30.100 at 1434776384.143161513
Step to 29.900 at 1434776399.195196389
Step to 30.000 at 1434776414.259164674
Step to 30.000 at 1434776429.323203960
Step to 29.900 at 1434776444.383400690
Step to 30.100 at 1434776459.448577885
Step to 29.800 at 1434776474.515184640
Step to 30.200 at 1434776489.572099866
Step to 29.700 at 1434776504.623185255
Step to 30.300 at 1434776519.679162563
Step to 29.600 at 1434776534.731210966
Step to 30.400 at 1434776549.787177412
Step to 29.500 at 1434776564.835176524
Step to 30.500 at 1434776579.887211149
Step to 29.400 at 1434776594.935388182
Step to 30.600 at 1434776609.995229894
Step to 29.300 at 1434776625.063177620
Step to 30.700 at 1434776640.114506773
Step to 29.200 at 1434776655.171076375
Step to 30.800 at 1434776670.227215575
Step to 29.100 at 1434776685.291179351
Step to 30.900 at 1434776700.335203665
Step to 29.000 at 1434776715.399191561
Step to 31.000 at 1434776730.467222047
Step to 28.900 at 1434776745.518766685
Step to 31.100 at 1434776760.583236393
Step to 28.800 at 1434776775.647170111
Step to 31.200 at 1434776790.695217557
Step to 28.700 at 1434776805.755151760
Step to 31.300 at 1434776820.806207948
Step to 28.600 at 1434776835.847169521
Step to 31.400 at 1434776850.903195319
Step to 28.500 at 1434776865.955153408
Step to 31.500 at 1434776881.015268932
Step to 28.400 at 1434776896.067168780
Step to 31.600 at 1434776911.115256240
Step to 28.300 at 1434776926.175137503
Step to 31.700 at 1434776941.223218969
Step to 28.200 at 1434776956.283134838
Step to 31.800 at 1434776971.335229525
Step to 28.100 at 1434776986.383164481
Step to 31.900 at 1434777001.443086718
Step to 28.000 at 1434777016.520715717
Step to 32.000 at 1434777031.583229373
Step to 27.900 at 1434777046.631160492
Step to 32.100 at 1434777061.687229648
Step to 27.800 at 1434777076.734453905
Step to 32.200 at 1434777091.787213489
Step to 27.700 at 1434777106.835137616
Step to 32.300 at 1434777121.883220757
Step to 27.600 at 1434777136.943171082
Step to 32.400 at 1434777151.995224243
Step to 27.500 at 1434777167.039157942
Step to 32.500 at 1434777182.091247133
Step to 27.400 at 1434777197.139127387
Step to 32.600 at 1434777212.187271351
Step to 27.300 at 1434777227.243137607
Step to 32.700 at 1434777242.291244750
Step to 27.200 at 1434777257.347134303
Step to 32.800 at 1434777272.399263497
Step to 27.100 at 1434777287.463139729
Step to 32.900 at 1434777302.527208148
Step to 27.000 at 1434777317.579139239
Step to 33.000 at 1434777332.627286091
Step to 26.900 at 1434777347.683129265
Step to 33.100 at 1434777362.739277144
Step to 26.800 at 1434777377.787145831
Step to 33.200 at 1434777392.831256581
Step to 26.700 at 1434777407.879116006
Step to 33.300 at 1434777422.935272070
Step to 26.600 at 1434777437.991134706
Step to 33.400 at 1434777453.051238046
Step to 26.500 at 1434777468.111135374
Step to 33.500 at 1434777483.159313066
Step to 26.400 at 1434777498.207517452
Step to 33.600 at 1434777513.307280202
Step to 26.300 at 1434777528.363106900
Step to 33.700 at 1434777543.431652222
Step to 26.200 at 1434777558.487113671
Step to 33.800 at 1434777573.551321178
Step to 26.100 at 1434777588.609666063
Step to 33.900 at 1434777603.667377237
Step to 26.000 at 1434777618.719114275
Step to 34.000 at 1434777633.763304786
Step to 25.900 at 1434777648.823129472
Step to 34.100 at 1434777663.875309559
Step to 25.800 at 1434777678.927134021
Step to 34.200 at 1434777693.979357522
Step to 25.700 at 1434777709.047129565
Step to 34.300 at 1434777724.107334734
Step to 25.600 at 1434777739.167100370
Step to 34.400 at 1434777754.223309302
Step to 25.500 at 1434777769.275099792
Step to 34.500 at 1434777784.339344741
Step to 25.400 at 1434777799.395100835
Step to 34.600 at 1434777814.451351947
Step to 25.300 at 1434777829.499125018
Step to 34.700 at 1434777844.547324532
Step to 25.200 at 1434777859.607076257
Step to 34.800 at 1434777874.667324235
Step to 25.100 at 1434777889.727108125
Step to 34.900 at 1434777904.779374053
Step to 25.000 at 1434777919.847119436
Step to 35.000 at 1434777934.903383462
Step to 24.900 at 1434777949.959084548
Step to 35.100 at 1434777965.007384008
Step to 24.800 at 1434777980.047114532
Step to 35.200 at 1434777995.103372094
Step to 24.700 at 1434778010.151086377
Step to 35.300 at 1434778025.207356402
Step to 24.600 at 1434778040.255086341
Step to 35.400 at 1434778055.315330899
Step to 24.500 at 1434778070.375099580
Step to 35.500 at 1434778085.427356549
Step to 24.400 at 1434778100.483094112
Step to 35.600 at 1434778115.539418795
Step to 24.300 at 1434778130.595092011
Step to 35.700 at 1434778145.659475325
Step to 24.200 at 1434778160.703274683
Step to 35.800 at 1434778175.771353711
Step to 24.100 at 1434778190.812534895
Step to 35.900 at 1434778205.875391554
Step to 24.000 at 1434778220.935077391
Step to 36.000 at 1434778235.995383668
Step to 23.900 at 1434778251.043097855
Step to 36.100 at 1434778266.098371261
Step to 23.800 at 1434778281.155282031
Step to 36.200 at 1434778296.219400874
Step to 23.700 at 1434778311.279098544
Step to 36.300 at 1434778326.351393840
Step to 23.600 at 1434778341.411109443
Step to 36.400 at 1434778356.467420232
Step to 23.500 at 1434778371.515082102
Step to 36.500 at 1434778386.579449598
Step to 23.400 at 1434778401.631098626
Step to 36.600 at 1434778416.687430491
Step to 23.300 at 1434778431.735113976
Step to 36.700 at 1434778446.779390822
Step to 23.200 at 1434778461.835089938
Step to 36.800 at 1434778476.891404241
Step to 23.100 at 1434778491.959108649
Step to 36.900 at 1434778507.011430109
Step to 23.000 at 1434778522.059113513
Step to 37.000 at 1434778537.111443850
Step to 22.900 at 1434778552.171094326
Step to 37.100 at 1434778567.215466250
Step to 22.800 at 1434778582.295089648
Step to 37.200 at 1434778597.344677187
Step to 22.700 at 1434778612.399099313
Step to 37.300 at 1434778627.447411445
Step to 22.600 at 1434778642.499104022
Step to 37.400 at 1434778657.555435408
Step to 22.500 at 1434778672.607088676
Step to 37.500 at 1434778687.651425510
Step to 22.400 at 1434778702.699108859
Step to 37.600 at 1434778717.747399743
Step to 22.300 at 1434778732.811086982
Step to 37.700 at 1434778747.867446924
Step to 22.200 at 1434778762.919085208
Step to 37.800 at 1434778777.963445437
Step to 22.100 at 1434778793.011116290
Step to 37.900 at 1434778808.067397136
Step to 22.000 at 1434778823.130623395
Step to 38.000 at 1434778838.191443785
Step to 21.900 at 1434778853.235074866
Step to 38.100 at 1434778868.307414928
Step to 21.800 at 1434778883.375094163
Step to 38.200 at 1434778898.435420442
Step to 21.700 at 1434778913.483088969
Step to 38.300 at 1434778928.543434148
Step to 21.600 at 1434778943.557964619
Step to 38.400 at 1434778958.611412144
Step to 21.500 at 1434778973.675089585
Step to 38.500 at 1434778988.727419310
Step to 21.400 at 1434779003.783097502
Step to 38.600 at 1434779018.835441037
Step to 21.300 at 1434779033.887087966
Step to 38.700 at 1434779048.935392851
Step to 21.200 at 1434779063.987110857
Step to 38.800 at 1434779079.047429778
Step to 21.100 at 1434779094.099092467
Step to 38.900 at 1434779109.151396641
Step to 21.000 at 1434779124.203096727
Step to 39.000 at 1434779139.251424395
Step to 20.900 at 1434779154.299085038
Step to 39.100 at 1434779169.363430179
Step to 20.800 at 1434779184.415084426
Step to 39.200 at 1434779199.463416341
Step to 20.700 at 1434779214.515088971
Step to 39.300 at 1434779229.575414865
Step to 20.600 at 1434779244.627101925
Step to 39.400 at 1434779259.691420286
Step to 20.500 at 1434779274.747098162
Step to 39.500 at 1434779289.819421207
Step to 20.400 at 1434779304.867084099
Step to 39.600 at 1434779319.919441607
Step to 20.300 at 1434779334.979087284
Step to 39.700 at 1434779350.035402701
Step to 20.200 at 1434779365.091103624
Step to 39.800 at 1434779380.139444629
Step to 20.100 at 1434779395.187077631
Step to 39.900 at 1434779410.231432818
Step to 20.000 at 1434779425.283099866
Quitting at 1434779440.319505226
Stopping stress at 1434779445.407141285
stress: FAIL: [17990] (416) <-- worker 17993 got signal 15
stress: WARN: [17990] (418) now reaping child worker processes
stress: FAIL: [17990] (422) kill error: No such process
stress: FAIL: [17990] (416) <-- worker 17992 got signal 15
stress: WARN: [17990] (418) now reaping child worker processes
stress: FAIL: [17990] (422) kill error: No such process
stress: FAIL: [17990] (416) <-- worker 17994 got signal 15
stress: WARN: [17990] (418) now reaping child worker processes
stress: FAIL: [17990] (422) kill error: No such process
stress: FAIL: [17990] (416) <-- worker 17995 got signal 15
stress: WARN: [17990] (418) now reaping child worker processes
stress: FAIL: [17990] (422) kill error: No such process
stress: FAIL: [17990] (452) failed run completed in 6047s
Stopping power gadget at 1434779450.425936472
Done.
