System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
18:21:16:758025622,1900000|1600000|1800000|1200000,27.0993,10.7411,5.3400,47000,
18:21:17: 92112606,1300000|1800000|1600000|1200000,28.1880,12.0962,5.3781,46000,
18:21:17:426211038,1800000|1500000|1900000|1300000,28.4238,12.2008,5.2809,47000,
18:21:17:760247972,1300000|1200000|1200000|1200000,28.1681,11.9510,5.5533,47000,
18:21:18: 94648304,1200000|1700000|1400000|1600000,26.5033,10.3644,5.3464,46000,
18:21:18:429246627,1900000|1400000|1200000|2000000,29.0817,12.9253,5.1791,47000,
18:21:18:763319740,1400000|1200000|1400000|1400000,29.7105,13.5663,5.3175,47000,
18:21:19: 97643466,1400000|2200000|1900000|1900000,28.2982,12.3086,4.9060,47000,
18:21:19:431593346,1900000|1400000|1900000|1300000,26.6832,10.5202,4.9492,47000,
18:21:19:765716047,1200000|1200000|1800000|1200000,28.3839,12.2627,5.2245,48000,
18:21:20: 99841580,1400000|1500000|1200000|1500000,24.3619,8.3778,4.6393,47000,
18:21:20:434111037,1700000|1700000|1700000|1400000,26.9329,10.8853,5.0079,48000,
18:21:20:768234745,1700000|1600000|1200000|1500000,25.6401,9.5458,4.7706,47000,
18:21:21:102375730,1500000|1800000|1300000|1200000,27.3904,11.2836,5.0666,47000,
18:21:21:436673693,1900000|1200000|1500000|1900000,24.8421,8.8984,4.7830,47000,
18:21:21:770732373,1900000|2000000|1700000|1500000,26.6642,10.6003,4.9487,47000,
18:21:22:104985333,1800000|1900000|1900000|1700000,25.6614,9.5694,4.8434,47000,
18:21:22:439110313,1500000|1500000|1200000|1400000,24.4341,8.4214,4.8821,46000,
18:21:22:773452646,1400000|1400000|2200000|1300000,25.9732,9.9003,5.2150,46000,
18:21:23:107786121,2100000|1300000|1700000|1400000,25.0413,8.9968,4.7167,46000,
18:21:23:442006183,1400000|1400000|1700000|1300000,25.7148,9.6931,4.8392,47000,
18:21:23:776346378,1200000|1500000|1200000|1500000,26.8665,10.7172,5.1507,47000,
18:21:24:110580727,1800000|1700000|1600000|1800000,25.1263,9.1186,4.8074,48000,
18:21:24:444689006,1200000|1400000|1200000|1200000,24.7182,8.7154,4.7738,47000,
18:21:24:779232702,1700000|1500000|2000000|1800000,27.9616,11.8316,5.1713,47000,
18:21:25:113378225,1400000|1800000|1500000|1300000,24.8128,8.8151,4.7826,47000,
18:21:25:447806170,1500000|1500000|1600000|1900000,23.4910,7.5047,4.8713,46000,
18:21:25:782075909,1700000|1200000|1700000|1500000,25.2308,9.0988,5.1002,47000,
18:21:26:116222617,1200000|1200000|1400000|1300000,22.9953,7.0319,4.7644,47000,
18:21:26:450712106,1200000|1300000|1200000|1800000,22.5872,6.5334,4.7450,46000,
18:21:26:785206602,1200000|1200000|1900000|1700000,23.6176,7.6261,4.8367,47000,
18:21:27:119689569,1800000|1800000|1600000|1600000,25.8043,9.6934,5.1284,48000,
18:21:27:453779877,1400000|1300000|1600000|1400000,22.7610,6.7647,4.7410,47000,
18:21:27:787998447,1800000|1200000|1400000|1500000,22.5607,6.5851,4.7209,46000,
18:21:28:122103384,1900000|2100000|2000000|2000000,26.0885,9.9819,5.1341,48000,
18:21:28:456223007,1200000|1200000|1200000|1200000,22.4907,6.4410,4.7517,47000,
18:21:28:790745977,2100000|1700000|1700000|1400000,23.5325,7.5294,4.8096,48000,
18:21:29:124676958,1200000|1200000|1600000|1200000,21.1494,5.1893,4.6766,46000,
18:21:29:459274005,1300000|1200000|1200000|1200000,24.1334,8.0611,4.8868,46000,
18:21:29:793791123,1200000|1300000|1200000|1200000,21.2591,5.2620,4.7435,46000,
18:21:30:128440444,1600000|1700000|1700000|1200000,21.1057,5.1728,4.7304,46000,
18:21:30:462718032,1600000|1200000|1600000|1400000,21.1741,5.1361,4.8011,46000,
18:21:30:797047236,1200000|1900000|1500000|2000000,21.9209,5.9616,4.7181,46000,
18:21:31:131566189,1200000|1200000|1900000|1400000,21.0829,5.0669,4.7713,46000,
18:21:31:466175077,1200000|1200000|2200000|1200000,19.0133,3.0492,4.6603,46000,
18:21:31:800668421,1400000|1500000|1200000|1200000,21.0704,5.1251,4.6865,45000,
18:21:32:135056346,1200000|1200000|1200000|1600000,21.9110,5.9014,4.7278,46000,
18:21:32:469697556,1300000|1500000|1200000|1200000,21.3363,5.3632,4.8104,45000,
18:21:32:804183507,1200000|1200000|1200000|1200000,18.4878,2.5171,4.5957,45000,
18:21:33:138676098,1200000|1800000|1200000|1300000,21.6879,5.7454,4.7707,46000,
18:21:33:473371335,2100000|1700000|1800000|1700000,24.7867,8.7319,4.8245,48000,
18:21:33:807328143,2200000|1200000|1900000|1200000,25.2651,9.2858,4.7019,47000,
18:21:34:141545863,1400000|1800000|1700000|1200000,27.8877,11.8104,4.7647,47000,
18:21:34:475614510,1700000|1900000|1200000|1200000,27.0498,10.9418,5.1919,47000,
18:21:34:809783763,1300000|1200000|1400000|1700000,27.1285,11.1265,4.7573,47000,
18:21:35:144432768,1900000|1200000|2000000|2100000,26.3417,10.3098,4.8167,47000,
18:21:35:478663703,1800000|1200000|1900000|1800000,26.8058,10.6813,4.9905,47000,
18:21:35:812759613,1700000|1900000|1800000|1700000,23.6133,7.6264,4.7381,48000,
18:21:36:146887256,1500000|1200000|1200000|1200000,24.8354,8.8424,4.7742,46000,
18:21:36:481178852,1600000|1600000|1700000|1600000,24.6186,8.5166,4.9802,48000,
18:21:36:815435016,1800000|1200000|1700000|1200000,22.3198,6.3393,4.7718,47000,
18:21:37:149551859,1200000|1200000|1200000|1200000,22.8131,6.8164,4.7620,47000,
18:21:37:484037103,1200000|1300000|1400000|1500000,23.1419,7.1090,4.7542,47000,
18:21:37:818382731,1500000|1300000|1900000|1200000,24.4255,8.3792,4.9996,47000,
18:21:38:152631515,1500000|1300000|1700000|1200000,23.5848,7.6115,4.7986,46000,
18:21:38:486924956,1800000|1200000|1200000|1400000,23.6814,7.6141,4.8177,47000,
18:21:38:821180626,1200000|1900000|1900000|1200000,23.0698,7.1065,4.6768,47000,
18:21:39:155226412,1300000|1700000|1400000|1700000,25.4473,9.3782,4.9965,47000,
18:21:39:489366979,1900000|1200000|1900000|1200000,24.2666,8.2812,4.8070,46000,
18:21:39:823461576,1900000|1200000|1600000|1500000,24.2494,8.1971,4.7714,46000,
18:21:40:157553571,1200000|1200000|1400000|1500000,23.6150,7.6171,4.7940,46000,
18:21:40:492128931,1700000|1200000|1200000|1200000,23.1290,7.1629,4.7440,47000,
18:21:40:826345354,1500000|1300000|1300000|1200000,25.3077,9.1652,5.1362,47000,
18:21:41:160607531,1200000|1400000|1400000|1200000,24.7594,8.7514,4.8048,47000,
18:21:41:495076243,1500000|1200000|1200000|1200000,24.0198,7.9643,4.8273,46000,
18:21:41:829382393,1500000|1300000|2000000|1700000,24.6497,8.6710,4.7674,48000,
18:21:42:163544154,1600000|1700000|1600000|1200000,25.6668,9.6029,5.0863,48000,
18:21:42:497825817,1700000|1300000|1800000|1600000,24.7714,8.6864,4.7900,47000,
18:21:42:832247577,1300000|1300000|1700000|1900000,24.2369,8.2733,4.7347,48000,
18:21:43:166539861,1400000|1500000|1300000|1500000,24.8101,8.7531,4.7371,47000,
18:21:43:501421885,1200000|1500000|1200000|1200000,24.7274,8.6979,4.7426,48000,
18:21:43:835809002,1800000|1200000|1600000|1200000,26.7883,10.7015,5.1229,47000,
18:21:44:169906379,1400000|1400000|1700000|1200000,24.5311,8.5237,4.7636,46000,
18:21:44:504266467,1500000|1200000|1200000|1400000,25.0453,8.9545,4.8978,47000,
18:21:44:838521804,1300000|1700000|1700000|1200000,24.4915,8.4872,4.8434,47000,
18:21:45:173019600,1400000|1200000|1300000|1500000,24.7201,8.6415,4.8629,47000,
18:21:45:509143770,1300000|1700000|1600000|2200000,25.2613,9.2256,4.8321,47000,
18:21:45:843109178,1200000|1200000|1200000|1200000,27.3060,11.2016,4.9983,46000,
18:21:46:177671225,1300000|1600000|1300000|1200000,25.5259,9.4797,4.8024,47000,
18:21:46:512109788,1500000|1400000|1700000|1200000,24.8459,8.8424,4.8186,46000,
18:21:46:846383225,1200000|1500000|1500000|1400000,25.3370,9.3406,4.7738,47000,
18:21:47:180723578,1800000|1400000|1300000|1500000,25.4417,9.3646,4.7988,47000,
18:21:47:514826093,1300000|1200000|1600000|1200000,27.0931,10.9487,5.1894,47000,
18:21:47:849268492,1200000|1400000|1200000|1500000,26.3635,10.3097,4.7930,47000,
