System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
10:45:24:691824554,1200000|1400000|1200000|1200000,26.8967,10.1018,6.0337,51000,
10:45:24:843339579,1300000|1900000|1600000|1600000,27.7098,10.8863,6.2052,52000,
10:45:24:994377825,1200000|1200000|1700000|1200000,28.2900,11.8328,5.8486,53000,
10:45:25:145793914,1200000|1300000|1200000|1500000,27.6324,11.0150,5.9174,51000,
10:45:25:297084923,1200000|1200000|1400000|1200000,27.4043,10.6859,6.0097,53000,
10:45:25:448464396,1500000|1300000|1200000|1600000,26.0550,9.1611,6.2022,51000,
10:45:25:600029589,1400000|1200000|1700000|1200000,28.0490,11.1349,6.2143,52000,
10:45:25:751291226,1200000|1200000|1200000|1300000,22.0736,5.7500,5.1573,50000,
10:45:25:902608853,1200000|1200000|1500000|1200000,23.8142,7.2481,5.5875,51000,
10:45:26: 54256157,1200000|1200000|1200000|1200000,18.6295,2.6821,4.6309,50000,
10:45:26:205806567,1300000|1600000|1300000|1600000,22.9803,6.4817,5.4641,51000,
10:45:26:357340220,1200000|1600000|1200000|1200000,18.8683,2.7912,4.7087,51000,
10:45:26:508894104,1200000|1500000|1200000|1200000,24.8517,8.3289,5.5825,52000,
10:45:26:660490544,1200000|1200000|1200000|1200000,18.4564,2.5235,4.6066,51000,
10:45:26:811999404,2100000|1200000|2100000|1800000,22.9660,6.6264,5.3192,52000,
10:45:26:963117205,1200000|1500000|1200000|1900000,20.7769,4.6874,4.8235,51000,
10:45:27:114682161,1900000|1900000|2000000|2100000,25.2977,9.0710,5.3392,50000,
10:45:27:265812565,1800000|2000000|1800000|1500000,27.1298,10.6667,5.7724,53000,
10:45:27:416870956,1900000|1600000|1700000|1500000,29.6394,13.3353,5.9004,53000,
10:45:27:567913562,1700000|2200000|1900000|1600000,28.6283,11.9605,5.9658,53000,
10:45:27:718881891,1400000|1700000|1200000|1200000,28.5604,12.1932,5.9095,52000,
10:45:27:869985308,2000000|1200000|1800000|1200000,28.3218,11.6774,5.8913,52000,
10:45:28: 21014913,1200000|1800000|1700000|1800000,28.4489,11.8592,5.9021,53000,
10:45:28:172273654,1200000|1300000|1400000|1700000,28.2380,11.6354,5.9715,52000,
10:45:28:323667412,1800000|1200000|1400000|1500000,27.8241,11.4016,5.7890,53000,
10:45:28:474807140,1700000|1300000|1500000|1800000,28.0660,11.5728,5.8346,52000,
10:45:28:625905713,2000000|1700000|1400000|1900000,27.7777,11.1659,5.7378,53000,
10:45:28:776892317,1500000|1700000|1500000|1600000,28.2119,11.5827,5.8056,52000,
10:45:28:928044857,1200000|1200000|1200000|1200000,26.8441,10.4110,5.7955,52000,
10:45:29: 79598430,1300000|1600000|1700000|1600000,27.7972,11.2179,6.0724,53000,
10:45:29:230818730,1900000|1700000|1900000|2200000,28.0721,11.4920,5.9666,52000,
10:45:29:381846275,1900000|1200000|1800000|1500000,29.1538,12.5478,5.7844,53000,
10:45:29:533046710,1800000|2000000|1600000|1600000,28.4379,11.9488,5.9628,53000,
10:45:29:683999750,1900000|1800000|1700000|2000000,29.7785,13.2422,5.9761,53000,
10:45:29:835102160,1500000|1200000|2100000|1200000,29.7959,13.1954,5.8354,52000,
10:45:29:986356952,1200000|1200000|1200000|1200000,28.1067,11.5255,6.0092,52000,
10:45:30:137893574,1400000|1600000|1500000|1200000,28.0475,11.4458,5.7027,53000,
10:45:30:289281483,1200000|1200000|1200000|1600000,26.8544,10.3808,5.7918,52000,
10:45:30:440699548,1600000|1500000|1900000|1800000,27.8993,11.4140,5.7517,52000,
10:45:30:591975462,1200000|1200000|1600000|1200000,25.2814,8.7930,5.6280,51000,
10:45:30:743584323,1400000|1200000|1200000|1200000,24.5607,8.1491,5.4882,51000,
10:45:30:895000015,1500000|1500000|1900000|1200000,24.5928,8.0489,5.5822,52000,
10:45:31: 46290648,1300000|1300000|1500000|1300000,22.6935,6.3450,5.3143,52000,
10:45:31:197645070,1200000|1200000|1200000|1200000,20.5128,4.3655,5.0506,51000,
10:45:31:349202880,1200000|1700000|1200000|1600000,24.9409,8.4899,5.5078,50000,
10:45:31:500764135,1400000|1400000|1800000|1700000,23.5013,7.2132,5.2009,52000,
10:45:31:651917423,1200000|1300000|1200000|1200000,20.2936,4.1995,4.8179,51000,
10:45:31:803545743,1400000|1800000|1200000|1300000,24.4865,8.1251,5.4830,50000,
10:45:31:955012492,1200000|1200000|1200000|1200000,19.0265,3.0735,4.5960,51000,
10:45:32:106474143,1200000|1300000|1600000|1400000,24.2807,7.8916,5.3325,52000,
10:45:32:257746558,1200000|1200000|1200000|1200000,19.1297,3.1072,4.7229,51000,
10:45:32:409286738,1200000|1200000|1200000|1200000,18.6285,2.6754,4.5969,51000,
10:45:32:560755463,1200000|1600000|1800000|1200000,25.7652,9.3575,5.5182,51000,
10:45:32:712353877,1200000|1200000|1800000|1200000,18.4998,2.5581,4.6542,51000,
10:45:32:863776676,1200000|1200000|1200000|1200000,19.0716,3.1074,4.6987,50000,
10:45:33: 15368143,1400000|1400000|1300000|1500000,21.1533,4.8674,4.9777,51000,
10:45:33:166682144,1600000|1200000|1900000|1200000,22.7417,6.6838,5.1719,50000,
10:45:33:317915150,1200000|1200000|1200000|1200000,18.7974,2.7908,4.7157,50000,
10:45:33:469421420,1200000|1200000|1200000|1200000,18.4596,2.5213,4.6480,51000,
10:45:33:620888049,1800000|1600000|1400000|1700000,19.1502,3.1795,4.8480,51000,
10:45:33:772000613,1800000|1200000|2100000|1200000,24.6058,8.1567,5.3798,50000,
10:45:33:923066554,1800000|1200000|1200000|1200000,21.0272,4.9543,4.7566,50000,
10:45:34: 74203363,1200000|1200000|1200000|1200000,18.5892,2.7217,4.6516,50000,
10:45:34:225669815,1200000|1200000|1200000|1200000,18.7731,2.7003,4.6432,50000,
10:45:34:377162497,1500000|1200000|1400000|1200000,21.0691,4.9105,4.9819,51000,
10:45:34:528402451,1200000|1200000|1200000|1700000,21.7693,5.5912,5.2565,50000,
10:45:34:680051082,1200000|1200000|1200000|1700000,18.6739,2.6220,4.6618,50000,
10:45:34:831585292,1200000|1200000|1200000|1200000,19.2796,3.3268,4.6747,50000,
10:45:34:983165465,1200000|1200000|1200000|1200000,18.4400,2.5110,4.6411,50000,
10:45:35:134679706,1600000|1200000|1200000|1200000,19.0373,3.0908,4.8082,50000,
10:45:35:286063553,2000000|1200000|1200000|1200000,24.0547,7.5557,5.5820,51000,
10:45:35:436999023,2000000|1200000|1200000|1200000,18.9875,2.9604,4.6269,51000,
10:45:35:588013638,2000000|1200000|1200000|1200000,18.6402,2.7585,4.6040,50000,
10:45:35:739007956,1200000|1200000|1200000|1200000,18.6373,2.6350,4.6973,49000,
10:45:35:890484522,1200000|1200000|1200000|1200000,19.0846,3.1249,4.5966,50000,
10:45:36: 42004001,1200000|1200000|1200000|1200000,18.6179,2.6735,4.6388,51000,
10:45:36:193477007,1400000|1700000|1800000|1700000,24.2738,7.9021,5.5754,51000,
10:45:36:344830561,1200000|1200000|1200000|1200000,18.9814,3.0057,4.6397,50000,
10:45:36:496366511,1200000|1200000|1200000|1200000,18.4793,2.5583,4.6456,50000,
10:45:36:647872968,1200000|1200000|1200000|1200000,18.4804,2.5406,4.6483,51000,
10:45:36:799394400,1200000|1200000|1200000|1200000,18.7068,2.7650,4.6708,50000,
10:45:36:950892730,1200000|1200000|1200000|1200000,18.7251,2.7786,4.6727,50000,
10:45:37:102382372,1200000|1200000|1200000|1200000,18.6129,2.5557,4.6183,50000,
10:45:37:253860941,1200000|1400000|1500000|2200000,25.5618,9.1922,5.6663,50000,
10:45:37:405467065,1200000|1200000|1200000|1200000,18.6874,2.7337,4.6703,50000,
10:45:37:556991211,1200000|1200000|1200000|1200000,18.4457,2.5045,4.6135,50000,
10:45:37:708452344,1200000|1200000|1200000|1200000,18.7157,2.7515,4.6652,51000,
10:45:37:860013567,1200000|1200000|1200000|1200000,18.8706,2.9383,4.5888,50000,
10:45:38: 11542236,1200000|1200000|1200000|1200000,18.5821,2.6353,4.6273,50000,
10:45:38:163053206,1200000|1200000|1200000|1200000,18.6114,2.6625,4.6350,50000,
10:45:38:314543010,1500000|1500000|1600000|1300000,22.9012,6.6681,5.0945,52000,
10:45:38:465845899,1200000|1200000|1200000|1900000,20.6011,4.4545,4.9381,51000,
