17:32:45. 33040888,60000,26.00,1,0.00,
17:32:51. 26572906,59996,24.93,1,0.00,
17:32:52. 18050730,59997,25.20,1,0.00,
17:32:53. 26832676,59997,25.20,1,0.00,
17:32:54. 25533228,59998,25.47,1,0.00,
17:32:55. 25304356,59998,25.47,1,0.00,
17:32:56. 26737819,59999,25.73,1,0.00,
17:32:57. 27244822,60000,26.00,1,0.00,
17:32:58. 26768273,60000,26.00,1,0.00,
17:32:59. 23850770,60001,26.27,1,0.00,
17:33:00. 26434763,60001,26.27,1,0.00,
17:33:01. 26356527,60001,26.27,1,0.00,
17:33:02. 25615323,60001,26.27,1,0.00,
17:33:03. 25364117,60000,26.00,1,0.00,
17:33:04. 27562191,60000,26.00,1,0.00,
17:33:05. 26565652,60000,26.00,1,0.00,
17:33:06. 27995163,59999,25.73,1,0.00,
17:33:07. 30150922,60000,26.00,1,0.00,
17:33:08. 29066271,60000,26.00,1,0.00,
17:33:09. 26219048,59999,25.73,1,0.00,
17:33:10. 25929674,60000,26.00,1,0.00,
17:33:11. 29025328,60000,26.00,1,0.00,
17:33:12. 27800035,59999,25.73,1,0.00,
17:33:13. 25904871,59999,25.73,1,0.00,
17:33:14. 25549695,60000,26.00,1,0.00,
17:33:15. 24150109,60001,26.27,1,0.00,
17:33:16. 21855297,60000,26.00,1,0.00,
17:33:17. 30514262,59999,25.73,1,0.00,
17:33:18. 29215717,60001,26.27,1,0.00,
17:33:19. 27734172,60002,26.53,1,0.00,
17:33:20. 24939066,60003,26.80,1,0.00,
17:33:21. 25319474,60006,27.60,1,0.00,
17:33:22. 25688998,60008,28.13,1,0.00,
17:33:23. 24070255,60010,28.67,1,0.00,
17:33:24. 32412182,60011,28.93,1,0.00,
17:33:25. 26713370,60012,29.20,1,0.00,
17:33:26. 23972029,60014,29.73,1,0.00,
17:33:27. 28471307,60014,29.73,1,0.00,
17:33:28. 27121439,60014,29.73,1,0.00,
