System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
17:05:48:252009313,1200000|1200000|1200000|1200000,8.9081,0.6260,1.7311,43000,
17:05:48:403594802,1200000|1200000|1200000|1200000,7.0939,0.3669,1.3598,44000,
17:05:48:555101860,1200000|1200000|1200000|1200000,8.6207,0.4396,1.3257,44000,
17:05:48:706615221,1200000|1200000|1200000|1200000,7.9478,0.4290,1.4202,44000,
17:05:48:858080791,1200000|1200000|1200000|1200000,6.6813,0.3559,1.4063,44000,
17:05:49:  9543348,1200000|1200000|1200000|1200000,7.7657,0.4254,1.3794,45000,
17:05:49:161022972,1200000|1200000|1200000|1200000,6.9818,0.3784,1.3923,43000,
17:05:49:312488908,1200000|1200000|1200000|1200000,7.4599,0.3906,1.3748,45000,
17:05:49:463955606,1200000|1200000|1200000|1200000,7.9029,0.4113,1.3002,43000,
17:05:49:615465243,1200000|1200000|1200000|1200000,7.0866,0.3723,1.3209,44000,
17:05:49:766965110,1200000|1200000|1200000|1200000,7.7472,0.4141,1.3618,44000,
17:05:49:918429015,1200000|1200000|1200000|1200000,6.8169,0.3882,1.3367,44000,
17:05:50: 69886041,1200000|1200000|1200000|1200000,7.4811,0.4095,1.3716,44000,
17:05:50:221554853,1200000|1200000|1200000|1200000,8.0923,0.4989,1.3901,44000,
17:05:50:373023507,1200000|1200000|1200000|1200000,7.2715,0.4113,1.4036,43000,
17:05:50:524494662,1200000|1200000|1200000|1200000,8.6481,0.4641,1.3892,44000,
17:05:50:675967942,1200000|1200000|1200000|1200000,7.6561,0.4490,1.4238,43000,
17:05:50:827484668,1200000|1200000|1200000|1200000,7.5259,0.4183,1.3194,43000,
17:05:50:978987309,1200000|1200000|1200000|1200000,8.2399,0.4452,1.4005,43000,
17:05:51:130452976,1200000|1200000|1200000|1200000,6.3265,0.2824,1.3044,43000,
17:05:51:281927321,1200000|1200000|1200000|1200000,8.9991,0.4436,1.3478,43000,
17:05:51:433397588,1200000|1200000|1200000|1200000,6.2223,0.2883,1.3041,44000,
17:05:51:584870754,1200000|1200000|1200000|1200000,8.4234,0.4169,1.3210,43000,
17:05:51:736338995,1200000|1200000|1200000|1200000,6.9450,0.3740,1.3127,44000,
17:05:51:887852017,1200000|1200000|1200000|1200000,7.4547,0.3626,1.3111,44000,
17:05:52: 39361215,1200000|1200000|1200000|1200000,7.2222,0.3746,1.4049,43000,
17:05:52:190890952,1200000|1200000|1200000|1200000,8.2595,0.4721,1.4123,44000,
17:05:52:342374241,1200000|1200000|1200000|1200000,6.9213,0.3071,1.2592,44000,
17:05:52:493851580,1200000|1200000|1200000|1200000,7.8429,0.3869,1.3616,43000,
17:05:52:645330569,1200000|1200000|1200000|1200000,6.2277,0.3201,1.3133,43000,
17:05:52:796810161,1200000|1200000|1200000|1200000,8.3668,0.4580,1.3617,44000,
17:05:52:948296212,1200000|1200000|1200000|1200000,7.3168,0.3544,1.3405,43000,
17:05:53: 99795053,1200000|1200000|1200000|1200000,8.2625,0.4654,1.3875,44000,
17:05:53:251316142,1200000|1200000|1200000|1200000,6.9109,0.3880,1.3991,44000,
17:05:53:402850937,1200000|1200000|1200000|1200000,7.1305,0.3664,1.3615,44000,
17:05:53:554331974,1200000|1200000|1200000|1200000,6.7932,0.3367,1.3142,43000,
17:05:53:705814751,1200000|1200000|1200000|1200000,7.1371,0.3741,1.2978,43000,
17:05:53:857295001,1200000|1200000|1200000|1200000,8.7069,0.4250,1.3417,44000,
17:05:54:  8776453,1200000|1200000|1200000|1200000,8.7656,0.5154,1.4280,43000,
17:05:54:160261405,1200000|1200000|1200000|1200000,9.7836,0.5114,1.4760,43000,
