System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
14:14:54:791963557,1200000|1200000|1200000|1200000,6.8598,0.4082,1.3618,46000,
14:14:54:943543818,1200000|1200000|1200000|1200000,7.0895,0.3692,1.3276,46000,
14:14:55: 95049568,1200000|1200000|1200000|1200000,7.8032,0.4028,1.3261,45000,
14:14:55:246528002,1200000|1200000|1200000|1200000,8.0364,0.3700,1.3331,46000,
14:14:55:397997447,1200000|1200000|1200000|1200000,7.0687,0.3301,1.3393,47000,
14:14:55:549468211,1200000|1200000|1200000|1200000,7.8681,0.3866,1.3600,46000,
14:14:55:700944218,1200000|1200000|1200000|1200000,8.0847,0.4684,1.4202,46000,
14:14:55:852419699,1200000|1200000|1200000|1200000,6.9321,0.3315,1.3551,46000,
14:14:56:  3925886,1200000|1200000|1200000|1200000,7.1458,0.3435,1.3505,46000,
14:14:56:155444688,1200000|1200000|1200000|1200000,7.3750,0.4460,1.3978,46000,
14:14:56:306987378,1200000|1200000|1200000|1200000,8.5341,0.4213,1.2999,45000,
14:14:56:458483968,1200000|1200000|1200000|1200000,6.6269,0.2931,1.2866,47000,
14:14:56:609965962,1200000|1200000|1200000|1200000,8.0213,0.4069,1.3290,46000,
14:14:56:761455744,1200000|1200000|1200000|1200000,7.5813,0.4303,1.4010,47000,
14:14:56:912943236,1200000|1200000|1200000|1200000,7.1194,0.3368,1.2954,47000,
14:14:57: 64428011,1200000|1200000|1200000|1200000,7.2129,0.3198,1.3124,47000,
14:14:57:215934333,1200000|1200000|1200000|1200000,8.6266,0.4681,1.3403,47000,
14:14:57:367479077,1200000|1200000|1200000|1200000,7.5184,0.3481,1.3327,47000,
14:14:57:519011487,1200000|1200000|1200000|1200000,6.6075,0.3212,1.2881,46000,
14:14:57:670479562,1200000|1200000|1200000|1200000,7.8486,0.4711,1.3549,46000,
14:14:57:821998361,1200000|1200000|1200000|1200000,6.6007,0.3077,1.3281,46000,
14:14:57:973491726,1200000|1200000|1200000|1200000,6.8701,0.3106,1.3108,46000,
14:14:58:124979191,1200000|1200000|1200000|1200000,7.8015,0.4160,1.3495,46000,
14:14:58:276454723,1200000|1200000|1200000|1200000,8.1163,0.4552,1.3600,47000,
14:14:58:427938072,1200000|1200000|1200000|1200000,6.9357,0.3744,1.2800,45000,
14:14:58:579429090,1200000|1200000|1200000|1200000,7.9529,0.3916,1.3758,47000,
14:14:58:730923809,1200000|1200000|1200000|1200000,8.4955,0.4580,1.4069,45000,
14:14:58:882391238,1200000|1200000|1200000|1200000,7.0671,0.3314,1.2734,46000,
14:14:59: 33867059,1200000|1200000|1200000|1200000,7.8606,0.4253,1.3871,45000,
14:14:59:185332747,1200000|1200000|1200000|1200000,8.6979,0.5305,1.3995,46000,
14:14:59:336806099,1200000|1200000|1200000|1200000,7.5978,0.3789,1.3738,45000,
14:14:59:488273714,1200000|1200000|1200000|1200000,7.0843,0.3641,1.3721,45000,
14:14:59:639790667,1200000|1200000|1200000|1200000,8.1093,0.4651,1.3363,46000,
14:14:59:791292623,1200000|1200000|1200000|1200000,6.7710,0.3713,1.3645,46000,
14:14:59:942770610,1200000|1200000|1200000|1200000,8.3056,0.4055,1.3300,46000,
14:15:00: 94237912,1200000|1200000|1200000|1200000,8.7762,0.5183,1.3900,47000,
14:15:00:245711400,1200000|1200000|1200000|1200000,9.5992,0.5672,1.4485,46000,
14:15:00:397179412,1200000|1200000|1200000|1200000,7.2117,0.4650,1.3341,46000,
14:15:00:548620027,1200000|1200000|1200000|1200000,7.8560,0.4828,1.4270,46000,
14:15:00:700095662,1200000|1200000|1200000|1200000,7.6953,0.4878,1.4100,46000,
14:15:00:851584412,1200000|1200000|1200000|1200000,9.0238,0.6440,1.6552,46000,
14:15:01:  3074024,1200000|1200000|1200000|1200000,7.7068,0.3873,1.3374,45000,
14:15:01:154546831,1200000|1200000|1200000|1200000,9.2243,0.6610,1.5307,45000,
14:15:01:306028942,1200000|1200000|1200000|1200000,6.9406,0.3359,1.3046,45000,
14:15:01:457502314,1200000|1200000|1200000|1200000,7.1601,0.3673,1.3536,45000,
14:15:01:608937613,2200000|2200000|2200000|2200000,10.5284,2.5020,1.8316,47000,
