11:58:13:365311787,250000000,250000,
11:58:16:365515538,250000000,500000,
11:58:19:365648079,250000000,1000000,
11:58:22:365785333,250000000,2000000,
11:58:25:365916926,250000000,2500000,
11:58:28:366057710,250000000,3000000,
11:58:31:366219807,500000000,500000,
11:58:34:366344164,500000000,1000000,
11:58:37:366499066,500000000,2000000,
11:58:40:366667952,500000000,4000000,
11:58:43:366824189,500000000,5000000,
11:58:46:366986200,500000000,6000000,
11:58:49:367144838,750000000,750000,
11:58:52:367268965,750000000,1500000,
11:58:55:367410119,750000000,3000000,
11:58:58:367534244,750000000,6000000,
11:59:01:367715566,750000000,7500000,
11:59:04:367882981,750000000,9000000,
11:59:07:368059061,1000000000,1000000,
11:59:10:368179509,1000000000,2000000,
11:59:13:368324164,1000000000,4000000,
11:59:16:368510717,1000000000,8000000,
11:59:19:368681586,1000000000,10000000,
11:59:22:368820502,1000000000,12000000,
11:59:25:369041771,2000000000,2000000,
11:59:28:369183327,2000000000,4000000,
11:59:31:369354826,2000000000,8000000,
11:59:34:369532363,2000000000,16000000,
11:59:37:369694177,2000000000,20000000,
11:59:40:369857371,2000000000,24000000,
