1445382688.709 1445382688.809 240.517 53.297 77.400 36.513 35.806 36.238
1445382688.809 1445382688.909 225.734 52.487 63.934 36.354 35.532 36.396
1445382688.909 1445382689.009 226.517 52.477 64.603 35.973 36.158 36.341
1445382689.009 1445382689.109 228.276 52.245 66.749 36.387 35.936 35.900
1445382689.109 1445382689.209 227.472 52.455 65.632 36.315 35.826 36.155
1445382689.209 1445382689.309 226.481 52.459 64.765 36.296 35.666 36.159
1445382689.309 1445382689.409 225.542 52.349 64.359 36.147 35.750 35.949
1445382689.409 1445382689.509 228.482 52.599 66.254 36.339 36.027 36.260
1445382689.509 1445382689.609 226.940 52.567 65.167 36.128 35.862 36.301
1445382689.609 1445382689.709 228.087 52.569 66.252 36.110 35.746 36.218
1445382689.709 1445382689.809 226.583 52.546 64.805 36.178 35.838 36.016
1445382689.809 1445382689.909 226.441 52.543 65.237 36.067 35.612 36.107
1445382689.909 1445382690.009 230.066 52.535 67.848 36.181 36.168 36.284
1445382690.009 1445382690.109 227.152 52.343 65.416 36.215 35.758 36.355
1445382690.109 1445382690.209 226.660 52.350 64.885 36.152 35.663 36.382
1445382690.209 1445382690.309 226.793 52.533 64.337 36.505 36.075 36.205
1445382690.309 1445382690.409 228.922 52.288 67.262 36.500 35.728 36.096
1445382690.409 1445382690.509 224.528 52.423 62.492 36.390 35.803 36.152
1445382690.509 1445382690.609 225.835 52.456 64.187 36.287 35.743 36.047
1445382690.609 1445382690.709 229.236 52.673 67.148 36.115 36.006 36.053
1445382690.709 1445382690.809 228.018 52.617 66.097 36.116 35.906 36.040
1445382690.809 1445382690.909 225.805 52.584 64.203 36.255 35.573 36.018
1445382690.909 1445382691.009 227.894 52.464 66.227 36.306 35.738 36.139
1445382691.009 1445382691.109 228.137 52.638 66.100 36.120 35.717 36.286
1445382691.109 1445382691.209 228.166 52.663 66.058 36.464 35.670 36.276
1445382691.209 1445382691.309 228.407 52.686 66.201 36.548 35.725 35.988
1445382691.309 1445382691.409 226.882 52.366 65.353 36.282 35.708 36.099
1445382691.409 1445382691.509 227.618 52.366 65.824 36.502 35.851 36.016
1445382691.509 1445382691.609 229.385 53.163 66.796 36.265 35.802 36.205
1445382691.611 1445382691.709 226.741 52.451 65.524 36.073 35.626 36.005
1445382691.709 1445382691.809 227.789 52.394 66.048 36.185 35.836 36.167
1445382691.809 1445382691.909 228.425 52.407 66.856 36.136 35.977 36.046
1445382691.909 1445382692.009 226.194 52.218 64.960 36.099 35.718 36.115
1445382692.009 1445382692.109 227.438 52.440 65.981 36.225 35.665 36.093
1445382692.109 1445382692.209 227.104 52.417 65.694 36.155 35.691 36.056
1445382692.209 1445382692.309 227.689 52.660 65.704 36.228 35.699 36.359
1445382692.309 1445382692.409 227.466 52.349 65.786 36.117 35.681 36.318
1445382692.409 1445382692.509 226.990 52.582 65.251 36.256 35.763 35.913
1445382692.509 1445382692.609 227.905 52.784 65.689 36.327 35.676 36.166
1445382692.609 1445382692.709 227.394 52.508 65.617 36.489 35.732 36.018
1445382692.709 1445382692.809 227.533 52.444 66.123 35.993 35.772 36.193
1445382692.809 1445382692.909 225.266 52.275 63.926 36.164 35.724 36.120
1445382692.909 1445382693.009 228.830 52.411 67.159 36.175 36.062 36.038
1445382693.009 1445382693.109 226.968 52.294 65.482 36.062 35.800 36.202
1445382693.109 1445382693.209 227.514 52.405 65.904 36.151 35.575 36.442
1445382693.209 1445382693.309 227.738 52.566 65.927 36.151 35.764 36.222
1445382693.309 1445382693.409 225.653 52.310 64.041 36.221 35.689 36.240
1445382693.409 1445382693.509 228.517 52.561 66.557 36.239 35.726 36.417
1445382693.509 1445382693.609 227.286 52.676 65.631 36.104 35.833 36.058
1445382693.609 1445382693.709 228.093 52.548 66.036 36.326 35.752 36.279
1445382693.709 1445382693.809 227.460 52.587 65.001 36.806 35.725 36.046
1445382693.809 1445382693.909 227.027 52.394 65.526 36.191 35.859 36.005
1445382693.909 1445382694.009 227.341 52.376 65.613 36.121 36.153 36.087
1445382694.009 1445382694.109 228.016 52.373 66.360 36.237 35.916 36.142
1445382694.109 1445382694.209 227.220 52.374 65.649 36.243 35.952 35.998
1445382694.209 1445382694.309 227.892 52.680 65.782 36.262 35.885 36.167
1445382694.309 1445382694.409 225.583 52.550 63.760 36.431 35.635 36.117
1445382694.409 1445382694.509 230.462 52.755 67.763 36.626 35.980 36.180
1445382694.509 1445382694.609 228.217 52.601 66.009 36.179 35.955 36.313
1445382694.609 1445382694.709 225.683 52.466 63.887 36.622 35.613 36.119
1445382694.709 1445382694.809 228.822 52.391 67.367 36.225 35.749 36.016
1445382694.811 1445382694.911 227.921 52.384 66.000 36.526 35.924 36.217
1445382694.911 1445382695.011 227.864 52.646 66.344 36.226 35.633 36.025
1445382695.011 1445382695.111 227.521 52.516 65.918 36.140 35.706 36.113
1445382695.111 1445382695.211 225.978 52.584 63.793 36.526 35.643 36.341
1445382695.211 1445382695.311 229.269 52.913 66.895 36.109 35.968 36.292
